league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,FW,22,2002,-0.23759541,0.014960521,0.3792319,0.3470901,0.9185038,-0.03426593,-0.68091947,-0.3418664,-0.42208102,-0.025412466
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,-0.23339869,-0.56572014,0.44603878,-0.19047235,0.54780686,0.53736013,-0.06897913,-0.19779341,-0.5062156,0.31337237
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,DF,19,2005,0.2903099,0.36449826,-0.09725495,-0.12146386,-0.73049486,-0.54865545,-0.041016415,-0.056174926,-0.33862114,0.76101065
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,FW,24,1999,-0.46687183,-0.5827809,0.31380036,-0.44987547,0.67924714,-0.079465576,-0.6431389,-0.22305715,0.074627936,-0.008826414
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,0.67189276,0.4406102,-0.09855864,-0.542524,-0.6580606,-0.16248398,0.4493347,-0.57680374,-0.35506225,0.5287883
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,MF,25,1999,0.18371136,-0.54036903,0.14563294,0.6371999,-0.021569803,0.48373795,-0.07161373,-0.30815008,0.32611474,0.19802698
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,0.2706644,0.5308814,-0.45540917,-0.07127061,-0.20287587,0.18246236,-0.13205704,-0.44631463,-0.4802361,0.15703385
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,0.19511949,-0.103788726,-0.2979084,0.15130606,0.5057541,0.37569484,-0.22034171,-0.19226483,-0.1357058,0.068648554
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,DF,20,2003,0.8083655,0.4874534,0.079165526,0.5101095,0.23617788,-0.50507575,-0.025469959,-0.023689419,-0.7033122,0.16927548
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,MF,29,1995,-0.110780664,0.18563394,-0.22885916,0.009424433,0.11374065,0.033951923,-0.068303235,-0.27104473,-0.26094875,-0.015528325
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,MF,25,1999,-0.42240342,0.3583333,-0.33693787,-0.71292263,-0.036861826,0.5385255,-0.089942105,-0.4225977,-0.73034066,-0.047104966
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,FW,24,1999,0.66011447,0.30175173,0.7389721,0.90798885,-0.45994288,-0.30398878,-0.63913995,-0.031587914,0.23089108,-0.23463298
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,MF,30,1994,-0.5874947,0.63323057,-0.30927458,-0.46850464,-0.4445539,-0.5448853,-0.19229671,-0.2425417,-0.35726985,-0.08924285
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,DF,31,1993,0.3295854,0.020712571,0.44008908,-0.63872135,-0.60540634,-0.18851013,-0.1337469,-0.030159198,-0.6740053,0.71960765
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,0.61917573,0.15368085,0.09113076,0.33339247,0.49447325,-0.29809734,0.20970367,-0.32383376,-0.5581314,-0.062432997
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,FW,22,2001,-0.46699238,0.05158295,0.72411585,0.4276769,0.84501,-0.7585214,-0.57287437,-0.11012577,-0.45600778,0.13319778
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,DF,26,1998,0.27002388,-0.2608615,0.45497334,-0.6064295,-0.08761866,0.34800878,-0.13915423,-0.5073205,-0.47243005,0.34225288
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,DF,25,1999,0.32319683,-0.43377405,0.010909121,-0.20885386,0.09960328,0.801531,-0.13077903,-0.41910794,-0.72449327,0.76428556
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,0.28306216,0.61178166,-0.6378745,0.36953917,0.46524456,0.34515452,-0.49618074,-0.1872859,-0.47894135,-0.31499162
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,DF,23,2001,0.6550167,0.5323145,0.16372746,-0.19407679,-0.7122173,-0.85291225,0.18412128,-0.2294379,-0.3175907,0.77276427
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,DF,22,2001,0.46357992,0.13915168,0.5381845,-0.74394953,-0.61653066,-0.24324325,0.2781407,-0.54787713,-0.32550946,0.5728918
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,MF,26,1998,0.21192175,0.1435734,-0.03359384,-0.2288007,-0.12298604,0.12783311,-0.16938414,-0.1696051,-0.45759952,0.37232745
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,MF,20,2004,-0.28943357,-0.027786752,0.2738012,-0.633722,-0.09496969,0.6002397,0.26165953,-0.47745126,-0.51252145,0.05538079
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,FW,27,1996,-0.8273477,0.036791645,0.25534886,0.023236796,0.7892336,-0.74967057,-0.74799776,0.25652483,0.094400026,-0.30830723
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,MF,20,2004,-0.39812297,0.4096415,0.049279492,-0.38218695,-0.015783861,-0.1813932,0.41724402,-0.2662556,-0.3446899,-0.4099697
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,FW,33,1990,-0.603143,-0.27779606,-0.066748865,-0.21573626,0.2266871,-0.08314293,-0.27253586,0.074716635,0.07365543,0.15205935
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,-0.32225415,-0.07906225,0.37912187,0.1076732,0.615618,0.09998801,-0.3200036,-0.25102192,-0.35500887,0.25975195
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,-0.08700489,-0.019384136,0.06109428,-0.15501167,-0.11516996,-0.111840226,-0.139271,0.22906734,-0.40095747,0.5111244
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,DF,24,2000,0.7267768,0.29735142,-0.4016618,-0.105333745,-0.56535614,-0.36275122,0.6499578,0.011948478,-0.44221678,0.47869635
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,"FW,MF",22,2001,-0.015242711,-0.7153938,0.054912187,0.6049959,0.13392334,0.42665878,-0.1656004,-0.3850497,0.25218308,0.5027714
