target_player,target_season,model_used,rank,player,age,team,pos,league,season,Match %
Manuel Locatelli,2024 - 2025,Tanh,3,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,81.1%
Manuel Locatelli,2024 - 2025,Tanh,4,Enzo Fernández,22,Chelsea,MF,ENG-Premier League,2023 - 2024,80.3%
Manuel Locatelli,2024 - 2025,Tanh,5,Nehuén Pérez,22,Udinese,DF,ITA-Serie A,2022 - 2023,79.2%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,1,Moisés Caicedo,22,Chelsea,"MF,DF",ENG-Premier League,2024 - 2025,91.2%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,2,Nicolò Rovella,22,Lazio,MF,ITA-Serie A,2024 - 2025,90.7%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,3,Moisés Caicedo,20,Brighton,MF,ENG-Premier League,2022 - 2023,87.6%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,4,Moisés Caicedo,21,Chelsea,MF,ENG-Premier League,2023 - 2024,82.5%
Manuel Locatelli,2024 - 2025,Tanh + Dropout,5,Jean-Clair Todibo,22,Nice,DF,FRA-Ligue 1,2022 - 2023,82.1%
Riccardo Orsolini,2024 - 2025,Ensemble,1,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,91.6%
Riccardo Orsolini,2024 - 2025,Ensemble,2,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,85.9%
Riccardo Orsolini,2024 - 2025,Ensemble,3,Nick Woltemade,22,Stuttgart,"FW,MF",GER-Bundesliga,2024 - 2025,85.6%
Riccardo Orsolini,2024 - 2025,Ensemble,4,Cyril Ngonge,23,Hellas Verona,"FW,MF",ITA-Serie A,2023 - 2024,82.2%
Riccardo Orsolini,2024 - 2025,Ensemble,5,Fábio Silva,22,Las Palmas,FW,ESP-La Liga,2024 - 2025,81.8%
Riccardo Orsolini,2024 - 2025,Mix ReLU,1,Adam Hložek,22,Hoffenheim,"FW,MF",GER-Bundesliga,2024 - 2025,99.5%
Riccardo Orsolini,2024 - 2025,Mix ReLU,2,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,98.9%
Riccardo Orsolini,2024 - 2025,Mix ReLU,3,Michael Olise,21,Crystal Palace,"FW,MF",ENG-Premier League,2023 - 2024,98.7%
Riccardo Orsolini,2024 - 2025,Mix ReLU,4,Karim Adeyemi,20,Dortmund,"FW,MF",GER-Bundesliga,2022 - 2023,98.6%
Riccardo Orsolini,2024 - 2025,Mix ReLU,5,Bryan Mbeumo,23,Brentford,FW,ENG-Premier League,2023 - 2024,98.6%
Riccardo Orsolini,2024 - 2025,Mix Tanh,1,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,88.3%
Riccardo Orsolini,2024 - 2025,Mix Tanh,2,Cyril Ngonge,23,Hellas Verona,"FW,MF",ITA-Serie A,2023 - 2024,83.7%
Riccardo Orsolini,2024 - 2025,Mix Tanh,3,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,81.6%
Riccardo Orsolini,2024 - 2025,Mix Tanh,4,Michael Olise,21,Crystal Palace,"FW,MF",ENG-Premier League,2023 - 2024,81.1%
Riccardo Orsolini,2024 - 2025,Mix Tanh,5,Bryan Zaragoza,21,Granada,"MF,FW",ESP-La Liga,2023 - 2024,80.9%
Riccardo Orsolini,2024 - 2025,ReLU + Tanh bottleneck,1,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,95.5%
Riccardo Orsolini,2024 - 2025,ReLU + Tanh bottleneck,2,Nick Woltemade,22,Stuttgart,"FW,MF",GER-Bundesliga,2024 - 2025,88.3%
Riccardo Orsolini,2024 - 2025,ReLU + Tanh bottleneck,3,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,86.0%
Riccardo Orsolini,2024 - 2025,ReLU + Tanh bottleneck,4,Cyril Ngonge,23,Hellas Verona,"FW,MF",ITA-Serie A,2023 - 2024,83.7%
Riccardo Orsolini,2024 - 2025,ReLU + Tanh bottleneck,5,Benjamin Šeško,21,RB Leipzig,"FW,MF",GER-Bundesliga,2024 - 2025,83.7%
Riccardo Orsolini,2024 - 2025,ReLu + Dropout,1,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,98.5%
Riccardo Orsolini,2024 - 2025,ReLu + Dropout,2,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,98.4%
Riccardo Orsolini,2024 - 2025,ReLu + Dropout,3,Adam Hložek,22,Hoffenheim,"FW,MF",GER-Bundesliga,2024 - 2025,97.9%
Riccardo Orsolini,2024 - 2025,ReLu + Dropout,4,Keito Nakamura,23,Reims,"FW,MF",FRA-Ligue 1,2023 - 2024,97.9%
Riccardo Orsolini,2024 - 2025,ReLu + Dropout,5,Fábio Silva,22,Las Palmas,FW,ESP-La Liga,2024 - 2025,97.8%
Riccardo Orsolini,2024 - 2025,Relu,1,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,99.6%
Riccardo Orsolini,2024 - 2025,Relu,2,Benjamin Šeško,21,RB Leipzig,"FW,MF",GER-Bundesliga,2024 - 2025,99.5%
Riccardo Orsolini,2024 - 2025,Relu,3,Nick Woltemade,22,Stuttgart,"FW,MF",GER-Bundesliga,2024 - 2025,99.3%
Riccardo Orsolini,2024 - 2025,Relu,4,Fábio Silva,22,Las Palmas,FW,ESP-La Liga,2024 - 2025,99.1%
Riccardo Orsolini,2024 - 2025,Relu,5,Santiago Castro,19,Bologna,FW,ITA-Serie A,2024 - 2025,99.1%
Riccardo Orsolini,2024 - 2025,Tanh,1,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,91.0%
Riccardo Orsolini,2024 - 2025,Tanh,2,Nick Woltemade,22,Stuttgart,"FW,MF",GER-Bundesliga,2024 - 2025,87.1%
Riccardo Orsolini,2024 - 2025,Tanh,3,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,81.8%
Riccardo Orsolini,2024 - 2025,Tanh,4,Terem Moffi,23,Lorient,FW,FRA-Ligue 1,2022 - 2023,81.8%
Riccardo Orsolini,2024 - 2025,Tanh,5,Fábio Silva,22,Las Palmas,FW,ESP-La Liga,2024 - 2025,80.6%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,1,Jonathan Burkardt,23,Mainz 05,"FW,MF",GER-Bundesliga,2023 - 2024,89.8%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,2,Georges Mikautadze,22,Metz,FW,FRA-Ligue 1,2023 - 2024,88.3%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,3,Cyril Ngonge,23,Hellas Verona,"FW,MF",ITA-Serie A,2023 - 2024,87.9%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,4,Bryan Zaragoza,21,Granada,"MF,FW",ESP-La Liga,2023 - 2024,87.5%
Riccardo Orsolini,2024 - 2025,Tanh + Dropout,5,Justin Njinmah,22,Werder Bremen,FW,GER-Bundesliga,2023 - 2024,86.7%
Xavi Simons,2024 - 2025,Ensemble,1,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,89.7%
Xavi Simons,2024 - 2025,Ensemble,2,Takefusa Kubo,22,Real Sociedad,"FW,MF",ESP-La Liga,2023 - 2024,86.4%
Xavi Simons,2024 - 2025,Ensemble,3,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,86.1%
Xavi Simons,2024 - 2025,Ensemble,4,Paul Nebel,21,Mainz 05,MF,GER-Bundesliga,2024 - 2025,84.0%
Xavi Simons,2024 - 2025,Ensemble,5,Kenan Yıldız,19,Juventus,"FW,MF",ITA-Serie A,2024 - 2025,83.9%
Xavi Simons,2024 - 2025,Mix ReLU,1,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,99.1%
Xavi Simons,2024 - 2025,Mix ReLU,2,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,99.0%
Xavi Simons,2024 - 2025,Mix ReLU,3,Paul Nebel,21,Mainz 05,MF,GER-Bundesliga,2024 - 2025,98.9%
Xavi Simons,2024 - 2025,Mix ReLU,4,Hákon Arnar Haraldsson,21,Lille,"MF,FW",FRA-Ligue 1,2024 - 2025,98.9%
Xavi Simons,2024 - 2025,Mix ReLU,5,Diego López,22,Valencia,"MF,FW",ESP-La Liga,2024 - 2025,98.6%
Xavi Simons,2024 - 2025,Mix Tanh,1,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,87.8%
Xavi Simons,2024 - 2025,Mix Tanh,2,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,83.3%
Xavi Simons,2024 - 2025,Mix Tanh,3,Paul Nebel,21,Mainz 05,MF,GER-Bundesliga,2024 - 2025,80.5%
Xavi Simons,2024 - 2025,Mix Tanh,4,Armand Lauriente,23,Sassuolo,FW,ITA-Serie A,2022 - 2023,79.4%
Xavi Simons,2024 - 2025,Mix Tanh,5,Phil Foden,23,Manchester City,"FW,MF",ENG-Premier League,2023 - 2024,77.6%
Xavi Simons,2024 - 2025,ReLU + Tanh bottleneck,1,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,91.4%
Xavi Simons,2024 - 2025,ReLU + Tanh bottleneck,2,Kenan Yıldız,19,Juventus,"FW,MF",ITA-Serie A,2024 - 2025,89.8%
Xavi Simons,2024 - 2025,ReLU + Tanh bottleneck,3,Phil Foden,23,Manchester City,"FW,MF",ENG-Premier League,2023 - 2024,87.6%
Xavi Simons,2024 - 2025,ReLU + Tanh bottleneck,4,Gabriel Martinelli,21,Arsenal,FW,ENG-Premier League,2022 - 2023,86.6%
Xavi Simons,2024 - 2025,ReLU + Tanh bottleneck,5,Takefusa Kubo,22,Real Sociedad,"FW,MF",ESP-La Liga,2023 - 2024,86.5%
Xavi Simons,2024 - 2025,ReLu + Dropout,1,Hákon Arnar Haraldsson,21,Lille,"MF,FW",FRA-Ligue 1,2024 - 2025,98.8%
Xavi Simons,2024 - 2025,ReLu + Dropout,2,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,98.6%
Xavi Simons,2024 - 2025,ReLu + Dropout,3,Martin Ødegaard,23,Arsenal,MF,ENG-Premier League,2022 - 2023,98.3%
Xavi Simons,2024 - 2025,ReLu + Dropout,4,Maghnes Akliouche,21,Monaco,"MF,FW",FRA-Ligue 1,2023 - 2024,97.6%
Xavi Simons,2024 - 2025,ReLu + Dropout,5,Michael Olise,21,Crystal Palace,"FW,MF",ENG-Premier League,2023 - 2024,97.6%
Xavi Simons,2024 - 2025,Relu,1,Jamal Musiala,19,Bayern Munich,"MF,FW",GER-Bundesliga,2022 - 2023,99.1%
Xavi Simons,2024 - 2025,Relu,2,Alex Baena,21,Villarreal,"MF,FW",ESP-La Liga,2022 - 2023,99.1%
Xavi Simons,2024 - 2025,Relu,3,Rafael Leão,23,Milan,"FW,MF",ITA-Serie A,2022 - 2023,98.7%
Xavi Simons,2024 - 2025,Relu,4,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,98.7%
Xavi Simons,2024 - 2025,Relu,5,Florian Wirtz,20,Leverkusen,MF,GER-Bundesliga,2023 - 2024,98.6%
Xavi Simons,2024 - 2025,Tanh,1,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,87.9%
Xavi Simons,2024 - 2025,Tanh,2,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,87.7%
Xavi Simons,2024 - 2025,Tanh,3,Takefusa Kubo,22,Real Sociedad,"FW,MF",ESP-La Liga,2023 - 2024,84.3%
Xavi Simons,2024 - 2025,Tanh,4,Jeremy Doku,20,Rennes,"MF,FW",FRA-Ligue 1,2022 - 2023,83.3%
Xavi Simons,2024 - 2025,Tanh,5,Malick Fofana,19,Lyon,FW,FRA-Ligue 1,2024 - 2025,79.9%
Xavi Simons,2024 - 2025,Tanh + Dropout,1,Matìas Soulé,21,Roma,"MF,DF",ITA-Serie A,2024 - 2025,90.8%
Xavi Simons,2024 - 2025,Tanh + Dropout,2,Phil Foden,22,Manchester City,FW,ENG-Premier League,2022 - 2023,90.0%
Xavi Simons,2024 - 2025,Tanh + Dropout,3,Paul Nebel,21,Mainz 05,MF,GER-Bundesliga,2024 - 2025,88.8%
Xavi Simons,2024 - 2025,Tanh + Dropout,4,Vitinha,23,Paris S-G,MF,FRA-Ligue 1,2023 - 2024,88.4%
Xavi Simons,2024 - 2025,Tanh + Dropout,5,Takefusa Kubo,22,Real Sociedad,"FW,MF",ESP-La Liga,2023 - 2024,88.3%
