target_player,target_season,model_used,rank,player,age,team,pos,league,season,Match %
Andrea Pinamonti,2024 - 2025,Ensemble,5,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,88.4%
Andrea Pinamonti,2024 - 2025,Mix ReLU,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,98.6%
Andrea Pinamonti,2024 - 2025,Mix ReLU,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.6%
Andrea Pinamonti,2024 - 2025,Mix ReLU,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,98.3%
Andrea Pinamonti,2024 - 2025,Mix ReLU,4,Santiago Castro,19,Bologna,FW,ITA-Serie A,2024 - 2025,98.2%
Andrea Pinamonti,2024 - 2025,Mix ReLU,5,Sergio Camello,21,Rayo Vallecano,FW,ESP-La Liga,2022 - 2023,97.6%
Andrea Pinamonti,2024 - 2025,Mix Tanh,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,88.6%
Andrea Pinamonti,2024 - 2025,Mix Tanh,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,88.4%
Andrea Pinamonti,2024 - 2025,Mix Tanh,3,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,86.7%
Andrea Pinamonti,2024 - 2025,Mix Tanh,4,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,80.9%
Andrea Pinamonti,2024 - 2025,Mix Tanh,5,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,80.3%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,94.8%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,91.6%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,3,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,90.9%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,4,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,90.5%
Andrea Pinamonti,2024 - 2025,ReLU + Tanh bottleneck,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,88.2%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,1,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.8%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,2,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,97.9%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,96.6%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,4,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,95.6%
Andrea Pinamonti,2024 - 2025,ReLu + Dropout,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,95.6%
Andrea Pinamonti,2024 - 2025,Relu,1,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,98.8%
Andrea Pinamonti,2024 - 2025,Relu,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,98.1%
Andrea Pinamonti,2024 - 2025,Relu,3,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,97.7%
Andrea Pinamonti,2024 - 2025,Relu,4,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,97.2%
Andrea Pinamonti,2024 - 2025,Relu,5,Elye Wahi,19,Montpellier,FW,FRA-Ligue 1,2022 - 2023,97.1%
Andrea Pinamonti,2024 - 2025,Tanh,1,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,93.1%
Andrea Pinamonti,2024 - 2025,Tanh,2,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,91.7%
Andrea Pinamonti,2024 - 2025,Tanh,3,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,89.3%
Andrea Pinamonti,2024 - 2025,Tanh,4,Matthis Abline,21,Nantes,FW,FRA-Ligue 1,2024 - 2025,86.0%
Andrea Pinamonti,2024 - 2025,Tanh,5,Liam Delap,21,Ipswich Town,FW,ENG-Premier League,2024 - 2025,85.7%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,1,Thijs Dallinga,21,Toulouse,FW,FRA-Ligue 1,2022 - 2023,96.9%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,2,Valentín Castellanos,23,Girona,FW,ESP-La Liga,2022 - 2023,94.6%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,3,Lorenzo Lucca,23,Udinese,FW,ITA-Serie A,2024 - 2025,94.2%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,4,Hugo Duro,23,Valencia,FW,ESP-La Liga,2023 - 2024,94.0%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,5,Lorenzo Lucca,22,Udinese,FW,ITA-Serie A,2023 - 2024,92.6%
Erling Haaland,2024 - 2025,Ensemble,1,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,89.9%
Erling Haaland,2024 - 2025,Ensemble,2,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,86.7%
Erling Haaland,2024 - 2025,Ensemble,3,Loïs Openda,23,RB Leipzig,FW,GER-Bundesliga,2023 - 2024,84.0%
Erling Haaland,2024 - 2025,Ensemble,4,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,83.7%
Erling Haaland,2024 - 2025,Ensemble,5,Loïs Openda,22,Lens,FW,FRA-Ligue 1,2022 - 2023,83.0%
Erling Haaland,2024 - 2025,Mix ReLU,1,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,98.0%
Erling Haaland,2024 - 2025,Mix ReLU,2,Loïs Openda,23,RB Leipzig,FW,GER-Bundesliga,2023 - 2024,97.8%
Erling Haaland,2024 - 2025,Mix ReLU,3,Jonathan David,23,Lille,FW,FRA-Ligue 1,2023 - 2024,97.7%
Erling Haaland,2024 - 2025,Mix ReLU,4,Loïs Openda,22,Lens,FW,FRA-Ligue 1,2022 - 2023,97.6%
Erling Haaland,2024 - 2025,Mix ReLU,5,Jørgen Strand Larsen,23,Celta Vigo,FW,ESP-La Liga,2023 - 2024,96.9%
Erling Haaland,2024 - 2025,Mix Tanh,1,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,91.6%
Erling Haaland,2024 - 2025,Mix Tanh,2,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,86.0%
Erling Haaland,2024 - 2025,Mix Tanh,3,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,81.2%
Erling Haaland,2024 - 2025,Mix Tanh,4,Loïs Openda,23,RB Leipzig,FW,GER-Bundesliga,2023 - 2024,79.0%
Erling Haaland,2024 - 2025,Mix Tanh,5,Thierno Barry,21,Villarreal,FW,ESP-La Liga,2024 - 2025,78.2%
Erling Haaland,2024 - 2025,ReLU + Tanh bottleneck,1,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,95.6%
Erling Haaland,2024 - 2025,ReLU + Tanh bottleneck,2,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,92.8%
Erling Haaland,2024 - 2025,ReLU + Tanh bottleneck,3,Jonathan David,23,Lille,FW,FRA-Ligue 1,2023 - 2024,91.6%
Erling Haaland,2024 - 2025,ReLU + Tanh bottleneck,4,Victor Osimhen,23,Napoli,FW,ITA-Serie A,2022 - 2023,90.7%
Erling Haaland,2024 - 2025,ReLU + Tanh bottleneck,5,Loïs Openda,22,Lens,FW,FRA-Ligue 1,2022 - 2023,85.8%
Erling Haaland,2024 - 2025,ReLu + Dropout,1,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,99.5%
Erling Haaland,2024 - 2025,ReLu + Dropout,2,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,99.1%
Erling Haaland,2024 - 2025,ReLu + Dropout,3,Dušan Vlahović,22,Juventus,FW,ITA-Serie A,2022 - 2023,97.7%
Erling Haaland,2024 - 2025,ReLu + Dropout,4,Emanuel Emegha,20,Strasbourg,FW,FRA-Ligue 1,2023 - 2024,97.3%
Erling Haaland,2024 - 2025,ReLu + Dropout,5,Thierno Barry,21,Villarreal,FW,ESP-La Liga,2024 - 2025,97.1%
Erling Haaland,2024 - 2025,Relu,1,Dušan Vlahović,23,Juventus,FW,ITA-Serie A,2023 - 2024,99.6%
Erling Haaland,2024 - 2025,Relu,2,Thijs Dallinga,22,Toulouse,FW,FRA-Ligue 1,2023 - 2024,99.4%
Erling Haaland,2024 - 2025,Relu,3,Jonathan David,23,Lille,FW,FRA-Ligue 1,2023 - 2024,99.3%
Erling Haaland,2024 - 2025,Relu,4,Alexander Isak,23,Newcastle Utd,FW,ENG-Premier League,2023 - 2024,99.1%
