league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,FW,22,2002,-0.36580333,-0.19945717,0.116340205,-0.109543525,-0.4286495,0.11947845,0.86727875,-0.3505508,0.05802855,-0.7926873
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,-0.6279104,-0.05874841,-0.2512979,-0.33056054,-0.32684928,0.23729557,0.7592142,-0.07607763,0.60632265,-0.617077
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,DF,19,2005,-0.5154086,-0.35006475,-0.571044,0.0013701237,0.028910503,-0.12440326,0.8564537,0.0041719805,-0.112076916,0.052695993
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,FW,24,1999,-0.55265486,-0.33832744,0.11627447,-0.6011563,-0.17276381,-0.09604386,0.65167814,0.06258253,0.17377232,-0.60448694
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,-0.7139748,-0.16627318,-0.6498526,-0.17038639,-0.39974055,-0.16649382,0.8115785,0.37619096,-0.16419658,-0.036347754
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,MF,25,1999,-0.27109742,0.18015832,-0.29903048,-0.12833191,-0.3232701,0.06721578,0.06886956,0.06561585,0.25895843,-0.63052917
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,-0.56339586,0.013138317,-0.54129857,-0.007313231,-0.4441978,0.30614853,0.8127999,0.006460726,-0.061812524,-0.37530512
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,-0.3609399,-0.042934183,-0.21045737,-0.12884791,-0.55302966,0.15966971,0.7763909,0.19959211,0.16471037,-0.4928436
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,DF,20,2003,-0.31581342,0.23437871,-0.5391804,0.30074835,-0.27847853,-0.5135625,0.7825529,-0.24640512,-0.057683215,-0.3143713
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,MF,29,1995,-0.49137855,0.04333383,-0.42357504,-0.13458306,-0.46055532,0.34188482,0.80978715,0.06848613,0.0033170907,-0.54068506
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,MF,25,1999,-0.5024982,-0.3031022,-0.66639954,-0.586044,-0.6201465,0.24453019,0.75915277,-0.0037000608,0.034474786,-0.6280084
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,FW,24,1999,-0.07991185,0.57097656,-0.017656473,0.6341275,0.31460539,-0.18586344,-0.20901449,-0.59940857,-0.29174468,-0.48109254
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,MF,30,1994,-0.35590264,-0.24374413,-0.56541455,-0.43954718,-0.28453436,0.13726091,0.711912,0.0118550025,-0.5104278,-0.46369866
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,DF,31,1993,-0.7512938,-0.60530126,-0.67606336,-0.33146504,0.0834534,-0.24441601,0.8741622,-0.14422444,0.22864798,-0.15006974
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,-0.4854545,0.19960056,-0.41281533,-0.04734768,-0.57656103,-0.38172138,0.7662694,-0.17630723,0.11356018,-0.48556465
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,FW,22,2001,-0.42021313,-0.055172604,0.108895294,-0.15096784,-0.0014008051,-0.07321422,0.84984094,-0.36784548,-0.004520229,-0.8668954
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,DF,26,1998,-0.70378035,-0.29034355,-0.447469,-0.4137584,-0.40889332,-0.16336663,0.92640454,0.10333039,0.362827,-0.5342856
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,DF,25,1999,-0.57997,-0.25737396,-0.4952952,-0.23247759,-0.44687822,0.21117872,0.8816762,0.08844131,0.65960103,-0.5622961
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000,-0.09973153,0.040109,-0.32011524,0.23997344,-0.68676364,0.29751632,0.8982261,-0.08050186,-0.28380147,-0.43676037
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,DF,23,2001,-0.5469608,-0.3972654,-0.5708346,-0.08303856,-0.11660307,-0.7126662,0.7187417,0.13593465,-0.4282819,0.11932754
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,DF,22,2001,-0.7590788,-0.4489612,-0.54950905,-0.4354275,-0.3085759,-0.5320646,0.8332096,0.1966788,0.05181796,-0.28806263
