league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,FW,22,2002,0.16407327,-0.4298401,0.010665132,-0.04079687,0.32726002,-0.052339002,0.35948026,-0.56052047,-0.29729027,0.5280059
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,"FW,MF",27,1997,0.2373943,-0.06670299,-0.28482884,0.28401154,0.2765834,0.09392743,0.1082058,-0.7556235,-0.53147614,0.38472944
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,DF,19,2005,-0.1005656,-0.12803316,-0.6269171,-0.24892363,0.48754242,0.09647226,-0.1996308,0.22601007,-0.3580512,-0.14258745
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,FW,24,1999,0.0145004885,-0.34909257,0.06262282,-0.004910312,0.49164987,0.09035125,0.020102654,-0.6422681,-0.5260629,0.21991515
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,DF,21,2002,0.18852293,-0.32906443,-0.6361853,-0.09225349,0.28724447,0.09757954,-0.035047267,0.39792132,-0.4790926,-0.33088377
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,MF,25,1999,0.40503028,-0.039828856,0.0053587193,-0.13599613,-0.010545287,-0.16165741,-0.22763555,-0.7257429,0.022323996,0.00013443583
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,"MF,DF",27,1997,0.3729954,-0.11331159,-0.6317318,-0.27327126,0.19772755,-0.16829254,0.3131743,-0.30672276,-0.27004915,0.027441839
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,"FW,MF",25,1999,0.32177445,-0.20714399,-0.16557422,-0.0039383993,0.13438895,0.116615824,0.19372119,-0.5715105,-0.16292216,0.09762392
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,DF,20,2003,0.18276684,-0.4290707,-0.6806744,-0.4851029,-0.17777964,-0.014443212,0.2248786,-0.23812133,-0.14587043,0.3637067
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,MF,29,1995,0.29895428,-0.10903814,-0.4418429,-0.101879284,0.2075635,-0.15952244,0.29637933,-0.476156,-0.27679718,0.0026491017
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,MF,25,1999,0.33971637,-0.34282172,-0.60063434,0.015648564,0.59302485,0.15889445,0.459317,-0.5430987,-0.3911262,-0.45402223
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,FW,24,1999,0.19402114,-0.056239914,0.039078426,-0.49253076,-0.22426353,-0.57013446,-0.20852208,-0.46855238,0.0039014767,0.48452285
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,MF,30,1994,0.0056221937,-0.32126662,-0.51032895,-0.27046815,0.47471946,-0.17105573,0.27647713,-0.18520913,-0.20099796,-0.33814305
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,DF,31,1993,-0.14921649,-0.3008079,-0.728898,0.04041081,0.54434264,0.1768322,-0.23883228,0.036279656,-0.5187936,-0.047008686
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,"DF,FW",23,2001,0.3591983,-0.47752237,-0.50238544,-0.35945684,-0.1716925,0.032762017,0.31663615,-0.5157436,-0.40122703,0.30329692
