league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Antoine Semenyo,GHA,24,2000,Right,RM,0.17882347,-0.27903,0.6776071,0.4391275,0.4191798,-0.46895137,0.042268123,0.4782715,0.14043182,-0.039801788
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,-0.5413385,-0.39450383,0.28058597,0.3903881,0.68553984,-0.13366365,0.051966686,0.10534468,0.083375536,-0.48711702
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,-0.52060413,-0.4666008,-0.38215443,0.6878955,0.6420235,0.09860562,-0.22103627,-0.34028336,0.11674603,-0.16700546
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,19,2005,Right,CB,0.10161187,0.21376573,-0.18201464,0.37881598,0.21082976,0.4091531,-0.48527744,0.1142137,-0.51187336,-0.13952088
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,24,1999,Right,ST,-0.5359425,0.24176192,-0.12239696,0.52842414,0.5730042,0.0059577045,0.25018162,0.005608489,0.18367232,-0.1683365
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,21,2002,Right,CB,0.26620886,0.11945909,-0.21514644,0.5791782,0.22073136,0.04040987,-0.6088864,0.3004764,-0.23966087,-0.31288368
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,25,1999,Right,CAM,0.16628112,-0.37238422,-0.317842,0.07895195,0.64279306,-0.05597097,0.016152672,-0.24160105,0.30524936,0.21290174
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,27,1997,Right,CDM,0.13967471,-0.39464402,0.069389254,0.44546068,0.4210573,-0.081073985,-0.4496853,-0.032490566,-0.27061334,-0.37704492
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,25,1999,Left,LM,-0.19295576,-0.42662963,-0.17201407,0.311644,0.44946313,-0.23842451,-0.3073002,0.03560646,0.08635396,-0.2964007
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,20,2003,Left,LB,0.26511467,-0.40880775,0.24806653,0.281558,0.60239065,0.18960282,-0.42218524,0.50852,-0.33000976,0.18357204
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,29,1995,Left,CDM,-0.020852398,-0.41937903,0.039552815,0.45427838,0.49614087,-0.17521484,-0.3772295,-0.15611655,-0.1066465,-0.34233302
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,25,1999,Right,CDM,-0.040830135,-0.22291304,-0.15395124,0.5560507,0.71720016,-0.55135626,-0.5651585,-0.23340309,-0.40193745,-0.3752437
