league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,0.42305335,-0.0056465087,0.013870484,-0.5266059,-0.30171105,0.02510713,0.14533761,0.059172165,0.06185022,0.52860117
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,0.6840074,-0.107401036,0.33630642,-0.40979317,-0.30120936,0.13657536,-0.07021211,-0.46278778,-0.22191806,0.52202725
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,19,2005,Right,CB,0.6160934,0.24677613,0.057334796,0.510317,0.196004,0.10505234,0.30168974,-0.12802462,0.05195017,0.057458527
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,24,1999,Right,ST,0.2009859,0.38532862,0.29435825,-0.45486698,-0.085613765,0.13894416,0.2897489,-0.39413857,0.035504058,0.3067632
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,21,2002,Right,CB,0.6783586,0.1589602,0.08279037,0.5015017,-0.0016403258,0.49056387,0.52572834,-0.12391341,0.1428918,-0.13346255
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,25,1999,Right,CAM,-0.24260756,-0.23298556,0.098943636,-0.20980237,-0.0979442,0.14343852,0.17625868,-0.054494925,-0.2267464,0.2548642
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,27,1997,Right,CDM,0.7248601,-0.22982457,0.13852137,0.14198793,-0.2115624,0.3015969,0.11624938,0.20282198,0.25171047,0.2173486
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,25,1999,Left,LM,0.43131167,-0.042246006,0.0838745,-0.3336899,-0.4239449,0.29874465,0.07948186,0.03370172,-0.12449768,0.12821417
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,20,2003,Left,LB,0.7419903,-0.27976227,-0.47309887,0.05417945,0.20686042,0.25441518,0.25882214,0.30105138,0.09025265,0.21763569
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,29,1995,Left,CDM,0.6228547,-0.2141277,0.26524204,-0.09435779,-0.30675828,0.25348595,0.11396874,0.12437364,0.15341729,0.19830018
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,25,1999,Right,CDM,0.75088865,-0.18232296,0.4005999,0.04706466,-0.45025903,0.104628764,0.7136423,-0.020199614,0.22622581,0.20586435
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,24,1999,Left,RW,-0.15805265,-0.38092986,-0.3005231,-0.17337666,0.39642197,0.019850679,-0.13589194,0.30110803,0.11377981,0.48156792
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,30,1994,Right,CDM,0.5820815,0.024738053,0.27648002,0.14237763,-0.08214671,0.016729977,0.53563464,0.23306742,0.40872356,-0.005283206
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,31,1993,Left,CB,0.7174809,0.1834253,0.08405816,0.47161812,0.3445676,0.12970705,0.5487936,-0.3539165,-0.16141723,0.25506657
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,23,2001,Right,LB,0.588623,-0.2754828,-0.35455304,-0.23729964,-0.084146336,0.4623987,0.34089696,0.12310359,0.070969544,0.25242764
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,22,2001,Right,LM,0.3614648,0.030436281,0.050351232,-0.59028864,0.17762308,0.00044430044,0.15241173,-0.11119616,0.14224972,0.4567039
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,26,1998,Right,RB,0.7171904,0.06727849,0.3017763,0.003557412,-0.06437125,0.41244537,0.50683606,-0.3184355,-0.17733146,0.31099668
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,25,1999,Right,RB,0.81754404,-0.15620917,0.26258358,-0.16368826,-0.281951,0.2252406,0.05527318,-0.2254459,-0.43062514,0.38092408
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,24,2000,Right,CAM,0.62849957,-0.20922151,-0.057224475,-0.23196888,-0.49538317,0.13345991,0.013842228,0.5083387,0.24393372,0.13056242
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,23,2001,Right,CB,0.78037274,0.5172769,-0.23885001,0.52866757,0.21332419,0.24282034,0.59306717,0.015113171,0.21145079,-0.08046429
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,22,2001,Right,CB,0.7493503,0.38769025,0.057140864,0.3854242,0.020783463,0.45648423,0.70744145,-0.26661733,0.08281982,0.058288507
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,26,1998,Left,CM,0.7975709,-0.035068072,0.025642557,0.10762934,-0.06604785,0.1553973,0.34591946,0.0127709415,-0.053265166,0.29584587
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,20,2004,Right,CM,0.7644759,-0.24913694,0.4696529,-0.031503893,-0.30676174,0.35565737,0.44678348,-0.28947017,0.04850211,0.19913872
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,27,1996,Right,ST,0.17576706,0.376146,0.014013514,-0.6296572,0.07504229,-0.2223856,0.32264894,-0.23808742,0.32173714,0.2055075
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,20,2004,Left,CDM,0.41993108,-0.37605196,0.38112423,0.042491537,-0.22929505,0.32060784,0.40461215,0.056426976,0.38257062,-0.042635545
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,33,1990,Right,ST,0.17392582,0.14827567,0.3235526,-0.36907947,-0.030826684,0.030155245,0.2844593,-0.21524185,-0.04430999,0.057147924
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,22,2002,Left,CAM,0.4397578,-0.07803572,0.32997835,-0.4924391,-0.11301122,0.21394621,0.20239924,-0.05426252,-0.107149296,0.23030551
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,19,2005,Right,CDM,0.739604,0.03900625,0.223453,-0.0075257933,0.069399156,-0.2532784,0.16723372,-0.31717047,0.038392566,0.34598538
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,24,2000,Right,CB,0.69332075,0.07357716,-0.09306455,0.59511447,-0.047138337,0.32120088,0.22966366,-0.27746883,0.18888192,-0.18587995
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,22,2001,Right,ST,-0.123788536,-0.1597345,0.09847119,-0.2763883,-0.090931356,0.095278054,0.2156861,-0.115394525,-0.35205638,0.2260612
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,32,1992,Right,RB,0.74212337,-0.26997843,0.309302,0.11839074,-0.15210603,0.37148938,0.44483823,-0.2070542,-0.04601069,0.3040002
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,27,1997,Right,LM,0.43509546,-0.2265693,-0.32097155,-0.6511057,-0.07448438,-0.07241513,0.2961131,-0.03866808,0.27364868,0.30646402
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,32,1991,Right,CB,0.7661165,0.29225788,-0.17098002,0.6541683,-0.15832518,0.1718023,0.40792674,-0.54321635,-0.099003635,0.14086978
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,24,1999,Right,CDM,0.63654995,-0.24706855,0.46945193,-0.01962133,-0.16211158,-0.07619158,0.56973,-0.11704611,-0.20165351,0.04486396
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,23,2000,Left,CAM,0.3930822,-0.06825277,0.4371503,-0.20180632,-0.2724392,0.21724296,0.10791301,-0.26429102,-0.5082814,0.25042674
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,26,1998,Left,LB,0.6222546,-0.49851456,-0.07995887,0.16989219,-0.06469321,0.2702549,0.29654628,-0.008421825,0.049910072,0.25935805
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,22,2002,Right,RM,0.6310376,-0.22286323,0.17393126,-0.48870993,-0.2841414,0.13543,0.11617922,-0.2551525,-0.31434262,0.38672101
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,20,2004,Left,RM,0.54242474,-0.3218154,-0.09353539,-0.5331717,-0.035795875,-0.10556403,0.16951323,0.08050893,-0.029979585,0.5548292
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,20,2003,Right,CM,0.7227642,-0.2601856,0.29883495,-0.16045795,-0.34308666,0.19639859,0.21930079,-0.09754356,0.1824171,0.32365727
