league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
ENG-Premier League,2024 - 2025,Aston Villa,Leon Bailey,JAM,26,1997,Left,RM,Wide Midfielder,0.07520402,-0.13826004,-0.39701554,-0.38996834,-0.2695886,0.3545993,0.82587504,-0.3400129,0.21046944,0.30115014,1.0974885,-0.25295573,0.33599868,-0.21716082,-0.50287795,0.94455385
ENG-Premier League,2024 - 2025,Aston Villa,Lucas Digne,FRA,31,1993,Left,LB,Fullback,0.8310703,-0.5463685,-0.008221231,0.14449288,0.38686565,0.0798287,0.7039883,0.19529289,-0.04288272,-0.11734249,0.5828659,-0.5853086,-0.16095175,0.22681198,0.2771861,0.8717597
ENG-Premier League,2024 - 2025,Aston Villa,Matty Cash,POL,26,1997,Right,RB,Fullback,0.47088212,-0.5963222,-0.41150898,-0.22151943,0.09110564,0.26378745,0.38243073,0.53986114,0.3393455,0.37649032,0.59513056,-0.08309874,-0.101530544,-0.052299455,0.08161447,0.7705013
ENG-Premier League,2024 - 2025,Aston Villa,Morgan Rogers,ENG,22,2002,Right,CAM,CAM,-0.091135204,-0.28426537,0.89798766,0.2631925,0.13389668,0.9529031,-0.20823742,-0.15892026,0.7383898,0.09616053,0.24059737,-0.03560728,0.8148712,0.18034162,-0.1023307,0.105880395
ENG-Premier League,2024 - 2025,Aston Villa,Ollie Watkins,ENG,28,1995,Right,ST,ST,-0.36469966,0.32207963,0.8275349,-0.64272517,0.4410981,0.36950135,-0.045075156,-0.2984919,-0.093781196,0.68866783,0.49002093,0.3287819,0.45548138,0.151168,-0.4323617,0.504161
ENG-Premier League,2024 - 2025,Aston Villa,Pau Torres,ESP,27,1997,Left,CB,CB,0.11379412,0.18319091,-0.98720187,-0.5823278,0.09602536,0.41602874,0.32551545,0.2500834,0.43647158,0.0721266,0.55079716,-0.45264527,-0.6674957,0.09714182,0.15856707,0.4018987
ENG-Premier League,2024 - 2025,Aston Villa,Tyrone Mings,ENG,31,1993,Left,CB,CB,0.44154197,-0.065131664,-1.1462693,-0.6367996,-0.091907024,0.56247467,0.8390557,-0.076052606,-0.04998227,0.19939747,0.7444605,-0.24100459,-0.28750885,0.2125719,-0.22488526,0.76239157
ENG-Premier League,2024 - 2025,Aston Villa,Youri Tielemans,BEL,27,1997,Right,CM,CM,0.56333697,-0.11993301,0.3639632,0.44554144,0.58072126,0.3878054,-0.29687214,0.40226215,0.076730266,-0.14577048,0.28752118,-0.8976767,0.14874567,-0.07622838,0.41222036,-0.09403621
ENG-Premier League,2024 - 2025,Bournemouth,Antoine Semenyo,GHA,24,2000,Right,RM,Wide Midfielder,0.38387552,0.03867484,1.0912933,-0.087134175,0.007744208,0.50673336,0.1919412,-0.031174451,0.88687134,0.2216272,0.20071687,0.053643562,0.0013595587,0.1753715,-0.33226377,-0.0031570792
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,Wide Midfielder,0.44033012,0.15876344,0.617067,-0.09627648,-0.14108998,0.16693467,0.5081604,-0.1257014,0.074753456,-0.42287707,0.7437342,0.12386521,0.36728728,0.25374305,-0.52627456,0.6759206
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,Wide Midfielder,0.18607579,-0.19150037,-0.07947164,-0.118991286,-0.40869802,0.374842,0.6616534,0.30796194,-0.2783852,0.4327022,1.0470469,-0.18500027,0.16867729,-0.33031756,-0.58962154,0.8316044
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,19,2005,Right,CB,CB,0.4128539,-0.44629794,-0.3097542,-0.83319443,-0.35495225,0.3754298,-0.19784693,-0.095840156,-0.19152965,-0.635728,0.06431664,-0.06632736,-0.21879743,0.17524047,0.55342275,0.19668253
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,24,1999,Right,ST,ST,0.19121927,0.63064444,0.5822481,-0.55584514,-0.11447942,0.5369318,0.25554723,0.12726663,-0.0894134,0.4838569,0.47285968,0.011113413,0.15559733,0.39704785,-0.65902615,0.6474756
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,21,2002,Right,CB,CB,0.4642401,0.21164748,-0.61378396,-0.4284572,0.076245956,0.18523356,-0.3325482,-0.07392809,0.21281157,-0.3198284,0.47020137,-0.23619738,-0.58713585,0.13444616,0.5850693,0.50344086
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,25,1999,Right,CAM,CAM,-0.6912126,-0.4850757,0.16048533,0.22645813,0.23462522,-0.26280546,-0.18114896,-0.06850551,0.27350006,0.7098657,0.85133785,0.07441861,0.04625969,0.47311968,-0.14902155,0.28035516
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,27,1997,Right,CDM,CDM,0.6613617,-0.3310221,0.1701388,0.080709726,0.24987231,0.1743471,-0.16899996,0.4740613,0.142408,-0.12707347,0.6702102,-0.7603302,-0.03806218,0.09013058,0.58858865,0.43823662
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,25,1999,Left,LM,Wide Midfielder,0.38431945,0.20365447,0.20017149,0.16990809,0.26294887,0.27507395,0.3860014,-0.19622336,0.22146654,0.027153816,0.62535864,-0.6732932,0.30494842,-0.3292312,-0.4474615,0.5751248
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,20,2003,Left,LB,Fullback,0.16650064,-0.5760255,0.22235675,-0.53516257,0.5844476,-0.02802904,0.12797442,0.24301974,0.51722103,-0.44198516,0.3668135,-0.52469003,-0.6336812,0.24562562,0.3808112,0.4344357
ENG-Premier League,2024 - 2025,Bournemouth,Ryan Christie,SCO,29,1995,Left,CDM,CDM,0.6928212,-0.29659525,0.16393012,0.19210327,0.057995386,0.30856854,0.103888,0.30099463,0.13995352,0.176538,0.7065697,-0.57520384,0.28665337,-0.294209,0.12746367,0.42690438
ENG-Premier League,2024 - 2025,Bournemouth,Tyler Adams,USA,25,1999,Right,CDM,CDM,0.8944796,-0.43263093,-0.4420366,0.3090241,0.53970385,0.54626745,-0.3751139,0.06610948,-0.25840187,0.028618403,0.92048275,-0.14649132,0.12162395,-0.31478542,-0.23774701,0.81604373
ENG-Premier League,2024 - 2025,Brentford,Bryan Mbeumo,CMR,24,1999,Left,RW,Winger,-0.486561,-0.93119204,0.8632118,-0.06607505,0.2630361,-0.6487437,0.2564938,0.39723355,0.65424883,0.27648154,0.054546036,0.11415956,-0.2607649,0.9695109,-0.07810756,-0.12873533
ENG-Premier League,2024 - 2025,Brentford,Christian Nørgaard,DEN,30,1994,Right,CDM,CDM,0.8411875,-0.20439583,0.11560044,-0.1669893,0.62599075,0.22172146,-0.5093407,0.48620844,0.05124267,-0.0015161736,0.3436423,-0.17246342,0.20926501,-0.042791903,0.25162336,0.3819027
ENG-Premier League,2024 - 2025,Brentford,Ethan Pinnock,JAM,31,1993,Left,CB,CB,0.36551124,-0.632449,-0.42802334,-0.6180908,-0.19520319,0.45606518,0.43635982,0.5394218,-0.35301483,0.12056351,0.09834209,0.22564074,-0.3674474,0.13030176,0.3100621,0.66542107
ENG-Premier League,2024 - 2025,Brentford,Keane Lewis-Potter,ENG,23,2001,Right,LB,Fullback,0.0022507282,-0.27003703,0.2660564,0.051169157,0.30176872,0.2448539,0.06390548,0.15349783,0.46104383,0.07239127,0.54603165,-0.08986239,-0.6211054,-0.077747285,0.24835503,0.7216719
ENG-Premier League,2024 - 2025,Brentford,Kevin Schade,GER,22,2001,Right,LM,Wide Midfielder,0.19406007,-0.21843308,0.7156169,-0.46319243,-0.34721556,0.27534193,0.3061195,0.36957717,0.2624366,0.101953596,0.35492262,0.37925968,0.4869669,0.2206162,-0.6587967,0.68059605
ENG-Premier League,2024 - 2025,Brentford,Kristoffer Ajer,NOR,26,1998,Right,RB,Fullback,0.36994934,-0.22099295,-0.60047567,-0.14218904,-0.27904344,0.5531909,0.29966378,0.16237773,-0.01094161,0.12269524,0.64300346,-0.18351921,0.15484346,0.1211071,-0.21572372,1.0946987
ENG-Premier League,2024 - 2025,Brentford,Mads Roerslev,DEN,25,1999,Right,RB,Fullback,0.09043527,-0.4149527,-0.5383519,0.0015784204,-0.17739566,0.4269113,0.76842546,0.21060787,-0.17403105,0.4451986,0.9685621,-0.33466607,0.36169496,-0.23304716,0.03315016,0.990563
ENG-Premier League,2024 - 2025,Brentford,Mikkel Damsgaard,DEN,24,2000,Right,CAM,CAM,0.43620172,-0.24454492,0.61866164,0.87873065,0.5594722,0.36674196,-0.40485787,0.03833015,0.33976382,-0.56842166,0.533368,-0.7604196,0.74506384,-0.0430976,0.12394922,0.26063272
ENG-Premier League,2024 - 2025,Brentford,Nathan Collins,IRL,23,2001,Right,CB,CB,0.19715753,0.03222064,-0.044348024,-0.82846093,0.25420684,0.43309277,-0.3304848,0.1205447,-0.09800608,-0.23254606,-0.08973743,0.08711732,-0.809242,0.40191063,1.0320808,0.34944448
ENG-Premier League,2024 - 2025,Brentford,Sepp van den Berg,NED,22,2001,Right,CB,CB,0.52226025,0.113486834,-0.27894354,-0.48469228,0.040518798,0.644071,0.09136784,0.1384596,-0.016136786,0.19433446,0.20997837,-0.18134123,-0.6352892,0.49105605,0.5399407,0.6817021
ENG-Premier League,2024 - 2025,Brentford,Vitaly Janelt,GER,26,1998,Left,CM,CM,0.59445024,-0.5468597,-0.11546571,-0.33038735,0.29999283,0.4157887,0.3017429,0.14502618,-0.13864508,0.08554369,0.4434718,-0.51018894,-0.077965416,-0.006671056,0.11725461,0.78610724
ENG-Premier League,2024 - 2025,Brentford,Yehor Yarmoliuk,UKR,20,2004,Right,CM,CM,0.6110209,-0.33368078,-0.51171976,0.10172664,-0.06658724,0.7667062,0.06357845,0.2957226,-0.007277829,0.3973959,1.1017333,-0.41905564,0.11074377,-0.056978643,-0.0901032,0.65769833
ENG-Premier League,2024 - 2025,Brentford,Yoane Wissa,COD,27,1996,Right,ST,ST,0.104115665,0.5683221,1.1274624,-0.7851113,0.19439954,0.5231239,-0.12334825,0.13870981,-0.101561755,0.34135747,0.4115636,0.30866513,0.1363765,0.12209541,-0.5275541,0.120168865
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,20,2004,Left,CDM,CDM,0.988047,-0.3130138,-0.008677596,0.15037647,0.21769777,0.44343698,-0.2770511,0.42596316,0.42470932,0.29186472,0.6379114,-0.48804718,0.0020832587,-0.13713974,-0.048866417,0.03870964
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,33,1990,Right,ST,ST,0.10099338,0.12964168,0.38553536,-0.39476696,0.17178068,0.68248004,0.01779232,0.033782378,-0.101300634,0.8643746,0.5784394,-0.06305195,0.47274572,0.00022819638,-0.4362642,0.27767196
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,22,2002,Left,CAM,CAM,0.47025087,-0.17159936,0.054752976,-0.16767614,-0.24853954,0.40633488,0.305407,-0.09063849,0.2118498,0.07867697,0.8168924,-0.12020497,0.8205859,-0.07840787,-0.6791307,0.667662
