league,season,team,player,nation,age,born,preferred_foot,pos,macro_pos,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27
ENG-Premier League,2024 - 2025,Arsenal,Bukayo Saka,ENG,22,2001,Left,RW,Winger,10.732242545662517,5.160967277454349,-3.0238452532773676,-2.945260721437914,0.39174951300556043,-0.9247492392475959,-3.6006828447514074,-1.8486215719783858,3.1677255686469197,-0.4685671672028312,-2.0947431484352395,-1.0120927664577544,-0.1428898133515791,-0.790176322370616,-0.6361621834334169,-0.591832093389886,-0.4508817511571297,0.10838972710164828,-0.5308200677892897,0.036794106823919315,-0.10816830214065022,0.3287518029979689,-1.134943373093251,-0.5377181121246472,1.1198687492181925,0.15792034512882597,0.46284005227128616
ENG-Premier League,2024 - 2025,Arsenal,Declan Rice,ENG,25,1999,Right,CDM,CDM,-0.6444487157143073,8.377872728962414,-0.6588019547528573,-1.7262626436476354,0.2619413976180215,0.25384679444554625,-1.7915563990100072,-1.1101551723259517,-0.33734317687873544,0.684274311568672,1.046863915740699,0.13835283328714668,0.8657681388241788,0.801137024663631,-1.1919084946174563,1.2353902958200014,1.1873749240406941,0.4776201429127479,-1.416494356545136,-0.3334462479241809,-0.3453504145858241,0.44533018857333834,0.40409222664258093,-1.0332283211577913,-1.5411261027841672,-0.5937535685151955,1.121709902711904
ENG-Premier League,2024 - 2025,Arsenal,Gabriel Martinelli,BRA,23,2001,Right,LW,Winger,9.47850378622026,3.674242160875333,-1.8874523049788199,-0.3431624807400416,-3.910667083585719,-2.9681820798378213,-0.05205420247956391,1.3410861622502561,-0.43552222375152905,-0.8296701937912653,-0.7669007390431989,0.08395803656998543,-0.31617056224070045,-0.3968588858841684,0.4223409253490404,0.8770257910156127,0.46134479939004125,0.9234150879262752,-0.4719121647625689,0.7697131319996563,0.3639653568652462,-0.23016637356075115,1.2159074280085307,-0.4703437270865606,0.9091643656661271,-0.42153207424663197,0.642505015568872
ENG-Premier League,2024 - 2025,Arsenal,Jakub Kiwior,POL,24,2000,Left,CB,CB,-3.225054652439863,-6.897521914877241,1.8363916298298026,-2.6780498936990673,-1.5685094057307518,2.5097829881058575,0.23526542046298984,1.7398317611192866,0.697978760653698,-1.3581185770230346,-1.0201094308069125,1.0754768298093966,0.6717557921751075,-0.01661337175083042,-1.7281699106916049,0.12080224248391441,-0.941551314993813,-1.9507364504817535,1.7293226146566973,-0.39412884685946814,-0.2752028589000294,-0.005727880382929069,0.4713860037524383,0.6265059443330635,0.03569212589261438,-0.48606325564148645,0.8214118310596746
ENG-Premier League,2024 - 2025,Arsenal,Jurriën Timber,NED,23,2001,Right,RB,Fullback,-3.289931783081848,2.0915660123887303,-1.2924663044409779,0.1715991125911762,-1.2220252167155554,-0.11018354384067636,1.385228986019372,-1.3219947157654295,1.4482020775603768,-2.231256859399971,1.6464323084820982,0.9177685662039419,0.7046213148331323,-0.20715751056244033,-0.17440790787143723,-0.16987862798084985,1.2368647716923549,0.2848111663683762,1.5250373300854574,-1.521958629967021,-0.37500802741736794,1.033939480571936,-0.38602805262726886,-1.2688709900866224,0.14582740836770353,-0.07925122484197739,0.669970720010261
ENG-Premier League,2024 - 2025,Arsenal,Kai Havertz,GER,25,1999,Left,ST,ST,7.738326852636023,-1.5886091594063387,3.2306612851228858,1.0335160097307687,-1.672569862683799,-0.7417850542026736,-0.8169162941912035,-2.457686376212484,-1.3534984542113928,-1.128122291876641,-0.3816362405565091,-0.7610184099484153,0.7908189778223289,-0.12816526237078923,-1.1399715651508697,-0.9350704046192015,-0.307732222088633,-1.4976165408918007,-0.2516583460083352,0.6167414740265174,-0.7994223458293388,1.385804175721374,0.43838365131010965,0.04165386096240934,-0.021655595603699285,-0.9977499662942505,-0.22009514263853655
ENG-Premier League,2024 - 2025,Arsenal,Leandro Trossard,BEL,29,1994,Right,LW,Winger,7.414836741658005,6.318436679687713,-2.0572053256069935,0.3230863455296989,-1.9838929101596414,-0.6450049093738133,-0.7863764236201328,-0.8279031899937663,0.6443056793245515,0.5997638605870952,0.9153772082455377,0.482435028546044,-1.1666273301608996,0.30053512200108495,-1.7280056517976488,0.4530988844278317,1.0885229583417664,0.856338491821648,-0.5132344836938554,0.5681925308426357,-1.3323374790088518,-0.9558686644208981,-0.5832612963539237,-0.341015960912085,0.47692813391159955,-0.48441371411397466,-0.49776535784895154
ENG-Premier League,2024 - 2025,Arsenal,Martin Ødegaard,NOR,25,1998,Left,CM,CM,3.6612034740828103,7.897448596082629,-2.5599401766949175,-6.16029232546132,2.2298940066785105,-1.729656681259358,-0.22109219110208697,-1.2775343735261944,-0.2845304335344333,-1.116827347760556,2.073721541463885,0.9512633559294116,-0.36146391103573433,0.44255507835993624,-0.28376451460177077,-1.079411125999364,0.0756906786622045,-1.7692275437384075,-0.18625002384762582,0.31156130395466536,0.5157624373330736,0.9413846488916499,0.50546370327526,-0.5615513043375073,-1.3043878615298619,-2.0805570034675274,0.6552699374488634
ENG-Premier League,2024 - 2025,Arsenal,Mikel Merino,ESP,28,1996,Left,CM,CM,4.061660503408298,-1.8735015559624877,1.983538624179534,2.2107191170829488,-1.5044321938622323,2.450212247303648,-0.6407941496132137,-2.0189457087471645,-0.2659416732187605,-0.3511293100375051,-1.8147639622390364,-0.17478472562305483,2.0744162099613805,1.041097002443906,-1.8999563215200435,-1.3333300828096488,0.9930150844383518,-0.5428341998649395,1.203294987016262,0.45545554982333336,-0.3062320541277935,-0.5496202772714054,0.11692484985292406,-0.7719381880313777,0.7688232949226075,-0.5641542338478674,0.525898981975695
ENG-Premier League,2024 - 2025,Arsenal,Myles Lewis-Skelly,ENG,17,2006,Left,LB,Fullback,-2.097752256640613,-5.226265970198885,0.11341593395941595,-2.8688407797396085,-2.302287261537314,2.046683555230292,1.6372836373209916,2.29853746910954,1.126164833131248,-1.5941328772935714,-0.3860209112743783,0.9054601662058278,0.3672375536721158,2.973138302517816,-3.4868863091512874,-0.7564022315936899,2.1498924824194066,-0.2645331140003728,-0.033373853360739905,-2.091475946617823,-0.7952024166116444,-1.287990215235671,0.15752439537798307,0.03921636830723966,-0.32011371359480906,-0.21395544694765936,1.3121905977246373
