league,season,team,player,nation,age,born,preferred_foot,pos,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Bournemouth,Antoine Semenyo,GHA,24,2000,Right,RM,0.44080967,-0.05354334,-0.1448307,0.045152027,0.2997587,-0.5588047,0.0074961344,0.2608007,0.5898177,0.0096111465
ENG-Premier League,2024 - 2025,Bournemouth,Dango Ouattara,BFA,22,2002,Left,LM,0.67636174,0.1707237,-0.087776236,0.3650245,0.1505277,0.05585529,0.04468055,0.5390086,0.41272685,0.13376822
ENG-Premier League,2024 - 2025,Bournemouth,David Brooks,WAL,27,1997,Left,RM,0.2894483,0.052404623,-0.14827144,0.26464248,-0.1945654,0.5694463,0.011698286,0.075843796,0.0941992,-0.23545039
ENG-Premier League,2024 - 2025,Bournemouth,Dean Huijsen,ESP,19,2005,Right,CB,-0.031258732,0.066021234,0.6332161,-0.2440587,-0.29227623,-0.24257424,-0.2001351,0.2744816,-0.52125335,0.0358323
ENG-Premier League,2024 - 2025,Bournemouth,Evanilson,BRA,24,1999,Right,ST,0.5603255,0.46318728,0.104182184,0.43096557,0.2677203,0.012490573,0.085178696,0.16068086,0.052360594,-0.40189672
ENG-Premier League,2024 - 2025,Bournemouth,Illia Zabarnyi,UKR,21,2002,Right,CB,-0.06152115,0.28717157,0.49908128,-0.5478139,-0.47009975,-0.27288243,0.27891767,0.09444509,-0.20931801,0.013196983
ENG-Premier League,2024 - 2025,Bournemouth,Justin Kluivert,NED,25,1999,Right,CAM,-0.71042466,-0.13953865,-0.47768357,0.23187654,0.046016645,-0.12493721,0.09236734,-0.13071074,0.027916312,-0.07008934
ENG-Premier League,2024 - 2025,Bournemouth,Lewis Cook,ENG,27,1997,Right,CDM,0.15282576,-0.027911542,0.0153571125,-0.36655733,-0.45253614,-0.15857972,-0.07253239,0.3978712,-0.042063586,0.11656925
ENG-Premier League,2024 - 2025,Bournemouth,Marcus Tavernier,ENG,25,1999,Left,LM,0.33653688,0.026111262,-0.3006375,0.020507216,0.011200161,-0.0014221845,0.2739674,0.04800279,0.0134764,0.1620229
ENG-Premier League,2024 - 2025,Bournemouth,Milos Kerkez,HUN,20,2003,Left,LB,-0.13559052,-0.27382115,0.38328472,-0.16366604,-0.3315015,-0.25336173,-0.18528208,-0.0024310357,0.24342373,0.37982276
