target_player,target_season,model_used,rank,player,age,team,macro_pos,league,season,Match %
Xavi Simons,2024 - 2025,Relu,3,Florian Wirtz,20,Leverkusen,CAM,GER-Bundesliga,2023 - 2024,94.2%
Xavi Simons,2024 - 2025,Relu,4,Jamal Musiala,19,Bayern Munich,CAM,GER-Bundesliga,2022 - 2023,93.9%
Xavi Simons,2024 - 2025,Relu,5,Phil Foden,23,Manchester City,Winger,ENG-Premier League,2023 - 2024,93.6%
Xavi Simons,2024 - 2025,Tanh,1,Jamal Musiala,19,Bayern Munich,CAM,GER-Bundesliga,2022 - 2023,80.9%
Xavi Simons,2024 - 2025,Tanh,2,Kenan Yıldız,19,Juventus,CAM,ITA-Serie A,2024 - 2025,80.9%
Xavi Simons,2024 - 2025,Tanh,3,Phil Foden,22,Manchester City,Winger,ENG-Premier League,2022 - 2023,80.1%
Xavi Simons,2024 - 2025,Tanh,4,Paul Nebel,21,Mainz 05,CAM,GER-Bundesliga,2024 - 2025,80.0%
Xavi Simons,2024 - 2025,Tanh,5,Alex Baena,21,Villarreal,Wide Midfielder,ESP-La Liga,2022 - 2023,78.1%
Xavi Simons,2024 - 2025,Tanh + Dropout,1,Armand Lauriente,23,Sassuolo,Winger,ITA-Serie A,2022 - 2023,63.8%
Xavi Simons,2024 - 2025,Tanh + Dropout,2,Callum Hudson-Odoi,22,Nott'ham Forest,Wide Midfielder,ENG-Premier League,2023 - 2024,62.6%
Xavi Simons,2024 - 2025,Tanh + Dropout,3,Paul Nebel,21,Mainz 05,CAM,GER-Bundesliga,2024 - 2025,61.9%
Xavi Simons,2024 - 2025,Tanh + Dropout,4,Hákon Arnar Haraldsson,21,Lille,CAM,FRA-Ligue 1,2024 - 2025,59.5%
Xavi Simons,2024 - 2025,Tanh + Dropout,5,Matìas Soulé,21,Roma,CAM,ITA-Serie A,2024 - 2025,59.5%
