target_player,target_season,model_used,rank,player,age,team,macro_pos,league,season,Match %
Andrea Pinamonti,2024 - 2025,ReLU + Dropout,5,Hugo Duro,23,Valencia,ST,ESP-La Liga,2023 - 2024,92.4%
Andrea Pinamonti,2024 - 2025,Relu,1,Valentín Castellanos,23,Girona,ST,ESP-La Liga,2022 - 2023,95.4%
Andrea Pinamonti,2024 - 2025,Relu,2,Thijs Dallinga,21,Toulouse,ST,FRA-Ligue 1,2022 - 2023,94.1%
Andrea Pinamonti,2024 - 2025,Relu,3,Lorenzo Lucca,23,Udinese,ST,ITA-Serie A,2024 - 2025,93.3%
Andrea Pinamonti,2024 - 2025,Relu,4,Roberto Piccoli,23,Cagliari,ST,ITA-Serie A,2024 - 2025,92.5%
Andrea Pinamonti,2024 - 2025,Relu,5,Lorenzo Lucca,22,Udinese,ST,ITA-Serie A,2023 - 2024,92.4%
Andrea Pinamonti,2024 - 2025,Tanh,1,Valentín Castellanos,23,Girona,ST,ESP-La Liga,2022 - 2023,92.4%
Andrea Pinamonti,2024 - 2025,Tanh,2,Thijs Dallinga,21,Toulouse,ST,FRA-Ligue 1,2022 - 2023,91.1%
Andrea Pinamonti,2024 - 2025,Tanh,3,Lorenzo Lucca,23,Udinese,ST,ITA-Serie A,2024 - 2025,90.1%
Andrea Pinamonti,2024 - 2025,Tanh,4,Hugo Duro,23,Valencia,ST,ESP-La Liga,2023 - 2024,88.3%
Andrea Pinamonti,2024 - 2025,Tanh,5,Matthis Abline,21,Nantes,ST,FRA-Ligue 1,2024 - 2025,84.3%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,1,Valentín Castellanos,23,Girona,ST,ESP-La Liga,2022 - 2023,91.2%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,2,Lorenzo Lucca,23,Udinese,ST,ITA-Serie A,2024 - 2025,89.0%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,3,Thijs Dallinga,21,Toulouse,ST,FRA-Ligue 1,2022 - 2023,87.8%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,4,Alejo Véliz,20,Espanyol,ST,ESP-La Liga,2024 - 2025,82.6%
Andrea Pinamonti,2024 - 2025,Tanh + Dropout,5,Armin Gigovic,22,Holstein Kiel,CM,GER-Bundesliga,2024 - 2025,82.3%
Erling Haaland,2024 - 2025,Ensemble,1,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,93.7%
Erling Haaland,2024 - 2025,Ensemble,2,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,93.2%
Erling Haaland,2024 - 2025,Ensemble,3,Loïs Openda,23,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,93.1%
Erling Haaland,2024 - 2025,Ensemble,4,Loïs Openda,22,Lens,ST,FRA-Ligue 1,2022 - 2023,92.0%
Erling Haaland,2024 - 2025,Ensemble,5,Thijs Dallinga,22,Toulouse,ST,FRA-Ligue 1,2023 - 2024,91.6%
Erling Haaland,2024 - 2025,PCA,1,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,94.1%
Erling Haaland,2024 - 2025,PCA,2,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,93.1%
Erling Haaland,2024 - 2025,PCA,3,Thijs Dallinga,22,Toulouse,ST,FRA-Ligue 1,2023 - 2024,92.9%
Erling Haaland,2024 - 2025,PCA,4,Jonathan David,23,Lille,ST,FRA-Ligue 1,2023 - 2024,92.2%
Erling Haaland,2024 - 2025,PCA,5,Alexander Isak,23,Newcastle Utd,ST,ENG-Premier League,2023 - 2024,91.7%
Erling Haaland,2024 - 2025,ReLU + Dropout,1,Thijs Dallinga,22,Toulouse,ST,FRA-Ligue 1,2023 - 2024,99.3%
Erling Haaland,2024 - 2025,ReLU + Dropout,2,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,97.9%
Erling Haaland,2024 - 2025,ReLU + Dropout,3,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,96.7%
Erling Haaland,2024 - 2025,ReLU + Dropout,4,Valentín Castellanos,23,Girona,ST,ESP-La Liga,2022 - 2023,96.5%
Erling Haaland,2024 - 2025,ReLU + Dropout,5,Loïs Openda,22,Lens,ST,FRA-Ligue 1,2022 - 2023,96.2%
Erling Haaland,2024 - 2025,Relu,1,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,97.7%
Erling Haaland,2024 - 2025,Relu,2,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,95.1%
Erling Haaland,2024 - 2025,Relu,3,Loïs Openda,23,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,95.1%
Erling Haaland,2024 - 2025,Relu,4,Thijs Dallinga,22,Toulouse,ST,FRA-Ligue 1,2023 - 2024,94.8%
Erling Haaland,2024 - 2025,Relu,5,Dušan Vlahović,22,Juventus,ST,ITA-Serie A,2022 - 2023,94.7%
Erling Haaland,2024 - 2025,Tanh,1,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,88.9%
Erling Haaland,2024 - 2025,Tanh,2,Loïs Openda,23,RB Leipzig,ST,GER-Bundesliga,2023 - 2024,88.5%
Erling Haaland,2024 - 2025,Tanh,3,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,88.3%
Erling Haaland,2024 - 2025,Tanh,4,Loïs Openda,22,Lens,ST,FRA-Ligue 1,2022 - 2023,86.3%
Erling Haaland,2024 - 2025,Tanh,5,Thijs Dallinga,22,Toulouse,ST,FRA-Ligue 1,2023 - 2024,85.1%
Erling Haaland,2024 - 2025,Tanh + Dropout,1,Emanuel Emegha,21,Strasbourg,ST,FRA-Ligue 1,2024 - 2025,81.7%
Erling Haaland,2024 - 2025,Tanh + Dropout,2,Dušan Vlahović,23,Juventus,ST,ITA-Serie A,2023 - 2024,80.1%
Erling Haaland,2024 - 2025,Tanh + Dropout,3,Victor Osimhen,23,Napoli,ST,ITA-Serie A,2022 - 2023,79.4%
Erling Haaland,2024 - 2025,Tanh + Dropout,4,Gonçalo Ramos,23,Paris S-G,ST,FRA-Ligue 1,2024 - 2025,78.1%
Erling Haaland,2024 - 2025,Tanh + Dropout,5,Loïs Openda,22,Lens,ST,FRA-Ligue 1,2022 - 2023,76.8%
Kevin De Bruyne,2024 - 2025,Ensemble,1,Alex Baena,23,Villarreal,Wide Midfielder,ESP-La Liga,2024 - 2025,88.7%
Kevin De Bruyne,2024 - 2025,Ensemble,2,Fares Chaïbi,20,Eint Frankfurt,CAM,GER-Bundesliga,2023 - 2024,88.5%
Kevin De Bruyne,2024 - 2025,Ensemble,3,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,87.7%
Kevin De Bruyne,2024 - 2025,Ensemble,4,Arda Güler,19,Real Madrid,Wide Midfielder,ESP-La Liga,2024 - 2025,83.3%
Kevin De Bruyne,2024 - 2025,Ensemble,5,Alexis Flips,22,Reims,Wide Midfielder,FRA-Ligue 1,2022 - 2023,83.1%
Kevin De Bruyne,2024 - 2025,PCA,1,Alex Baena,23,Villarreal,Wide Midfielder,ESP-La Liga,2024 - 2025,85.5%
Kevin De Bruyne,2024 - 2025,PCA,2,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,82.8%
Kevin De Bruyne,2024 - 2025,PCA,3,Michael Olise,22,Bayern Munich,Wide Midfielder,GER-Bundesliga,2024 - 2025,78.8%
Kevin De Bruyne,2024 - 2025,PCA,4,Dominik Szoboszlai,23,Liverpool,CAM,ENG-Premier League,2024 - 2025,75.8%
Kevin De Bruyne,2024 - 2025,PCA,5,Bukayo Saka,22,Arsenal,Winger,ENG-Premier League,2024 - 2025,75.3%
Kevin De Bruyne,2024 - 2025,ReLU + Dropout,1,Bukayo Saka,22,Arsenal,Winger,ENG-Premier League,2024 - 2025,93.9%
Kevin De Bruyne,2024 - 2025,ReLU + Dropout,2,Harvey Elliott,20,Liverpool,CAM,ENG-Premier League,2023 - 2024,93.1%
Kevin De Bruyne,2024 - 2025,ReLU + Dropout,3,Mason Mount,23,Chelsea,CAM,ENG-Premier League,2022 - 2023,93.0%
Kevin De Bruyne,2024 - 2025,ReLU + Dropout,4,Arda Güler,19,Real Madrid,Wide Midfielder,ESP-La Liga,2024 - 2025,92.5%
Kevin De Bruyne,2024 - 2025,ReLU + Dropout,5,Alexis Saelemaekers,23,Milan,Wide Midfielder,ITA-Serie A,2022 - 2023,91.9%
Kevin De Bruyne,2024 - 2025,Relu,1,Alex Baena,23,Villarreal,Wide Midfielder,ESP-La Liga,2024 - 2025,93.1%
Kevin De Bruyne,2024 - 2025,Relu,2,Arda Güler,19,Real Madrid,Wide Midfielder,ESP-La Liga,2024 - 2025,91.9%
Kevin De Bruyne,2024 - 2025,Relu,3,Fares Chaïbi,20,Eint Frankfurt,CAM,GER-Bundesliga,2023 - 2024,91.6%
Kevin De Bruyne,2024 - 2025,Relu,4,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,91.2%
Kevin De Bruyne,2024 - 2025,Relu,5,Alexis Flips,22,Reims,Wide Midfielder,FRA-Ligue 1,2022 - 2023,90.1%
Kevin De Bruyne,2024 - 2025,Tanh,1,Fares Chaïbi,20,Eint Frankfurt,CAM,GER-Bundesliga,2023 - 2024,84.8%
Kevin De Bruyne,2024 - 2025,Tanh,2,Alex Baena,23,Villarreal,Wide Midfielder,ESP-La Liga,2024 - 2025,82.2%
Kevin De Bruyne,2024 - 2025,Tanh,3,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,80.9%
Kevin De Bruyne,2024 - 2025,Tanh,4,Alexis Flips,22,Reims,Wide Midfielder,FRA-Ligue 1,2022 - 2023,76.7%
Kevin De Bruyne,2024 - 2025,Tanh,5,Arda Güler,19,Real Madrid,Wide Midfielder,ESP-La Liga,2024 - 2025,74.6%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,1,Alex Baena,23,Villarreal,Wide Midfielder,ESP-La Liga,2024 - 2025,80.3%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,2,Rayan Cherki,20,Lyon,Winger,FRA-Ligue 1,2024 - 2025,75.0%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,3,Fares Chaïbi,20,Eint Frankfurt,CAM,GER-Bundesliga,2023 - 2024,74.7%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,4,Rodrigo Zalazar,22,Schalke 04,CAM,GER-Bundesliga,2022 - 2023,70.8%
Kevin De Bruyne,2024 - 2025,Tanh + Dropout,5,Khvicha Kvaratskhelia,23,Paris S-G,Winger,FRA-Ligue 1,2024 - 2025,68.1%
Manuel Locatelli,2024 - 2025,Ensemble,1,Moisés Caicedo,20,Brighton,CDM,ENG-Premier League,2022 - 2023,90.5%
Manuel Locatelli,2024 - 2025,Ensemble,2,Nicolò Rovella,22,Lazio,CDM,ITA-Serie A,2024 - 2025,89.8%
Manuel Locatelli,2024 - 2025,Ensemble,3,Moisés Caicedo,22,Chelsea,CDM,ENG-Premier League,2024 - 2025,89.6%
Manuel Locatelli,2024 - 2025,Ensemble,4,Enzo Barrenechea,22,Frosinone,CM,ITA-Serie A,2023 - 2024,89.3%
Manuel Locatelli,2024 - 2025,Ensemble,5,Angelo Stiller,22,Stuttgart,CDM,GER-Bundesliga,2023 - 2024,89.2%
Manuel Locatelli,2024 - 2025,PCA,1,Declan Rice,23,West Ham,CDM,ENG-Premier League,2022 - 2023,87.4%
Manuel Locatelli,2024 - 2025,PCA,2,Nico Schlotterbeck,23,Dortmund,CB,GER-Bundesliga,2023 - 2024,87.2%
Manuel Locatelli,2024 - 2025,PCA,3,Moisés Caicedo,22,Chelsea,CDM,ENG-Premier League,2024 - 2025,86.7%
Manuel Locatelli,2024 - 2025,PCA,4,Moisés Caicedo,20,Brighton,CDM,ENG-Premier League,2022 - 2023,86.0%
Manuel Locatelli,2024 - 2025,PCA,5,Moisés Caicedo,21,Chelsea,CDM,ENG-Premier League,2023 - 2024,85.3%
Manuel Locatelli,2024 - 2025,ReLU + Dropout,1,Nico Schlotterbeck,23,Dortmund,CB,GER-Bundesliga,2023 - 2024,95.5%
Manuel Locatelli,2024 - 2025,ReLU + Dropout,2,Enzo Barrenechea,22,Frosinone,CM,ITA-Serie A,2023 - 2024,94.5%
Manuel Locatelli,2024 - 2025,ReLU + Dropout,3,Mario Gila,23,Lazio,CB,ITA-Serie A,2024 - 2025,93.6%
Manuel Locatelli,2024 - 2025,ReLU + Dropout,4,Moisés Caicedo,21,Chelsea,CDM,ENG-Premier League,2023 - 2024,93.5%
Manuel Locatelli,2024 - 2025,ReLU + Dropout,5,Moisés Caicedo,20,Brighton,CDM,ENG-Premier League,2022 - 2023,93.1%
