league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
GER-Bundesliga,2024 - 2025,Wolfsburg,Joakim Mæhle,DEN,27,1997,Right,LB,13,LB
GER-Bundesliga,2024 - 2025,Wolfsburg,Jonas Wind,DEN,25,1999,Right,ST,3,ST
GER-Bundesliga,2024 - 2025,Wolfsburg,Kilian Fischer,GER,23,2000,Right,RB,2,CDM
GER-Bundesliga,2024 - 2025,Wolfsburg,Konstantinos Koulierakis,GRE,20,2003,Left,CB,4,CB
GER-Bundesliga,2024 - 2025,Wolfsburg,Mattias Svanberg,SWE,25,1999,Right,CM,12,ST
GER-Bundesliga,2024 - 2025,Wolfsburg,Maximilian Arnold,GER,30,1994,Left,CDM,7,CM
GER-Bundesliga,2024 - 2025,Wolfsburg,Mohamed Amoura,ALG,24,2000,Right,ST,11,ST
GER-Bundesliga,2024 - 2025,Wolfsburg,Patrick Wimmer,AUT,23,2001,Right,CAM,6,RM
GER-Bundesliga,2024 - 2025,Wolfsburg,Ridle Baku,GER,26,1998,Right,RM,12,ST
GER-Bundesliga,2024 - 2025,Wolfsburg,Tiago Tomás,POR,22,2002,Right,LW,17,ST
GER-Bundesliga,2024 - 2025,Wolfsburg,Yannick Gerhardt,GER,30,1994,Left,CM,8,CB
ITA-Serie A,2024 - 2025,Atalanta,Ademola Lookman,NGA,26,1997,Right,ST,11,ST
ITA-Serie A,2024 - 2025,Atalanta,Berat Djimsiti,ALB,31,1993,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Atalanta,Charles De Ketelaere,BEL,23,2001,Left,CAM,11,ST
ITA-Serie A,2024 - 2025,Atalanta,Davide Zappacosta,ITA,32,1992,Right,LM,13,LB
ITA-Serie A,2024 - 2025,Atalanta,Isak Hien,SWE,25,1999,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Atalanta,Lazar Samardzic,SRB,22,2002,Left,CM,16,RM
ITA-Serie A,2024 - 2025,Atalanta,Marco Brescianini,ITA,24,2000,Left,CM,3,ST
ITA-Serie A,2024 - 2025,Atalanta,Mario Pašalić,CRO,29,1995,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Atalanta,Marten de Roon,NED,33,1991,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Atalanta,Mateo Retegui,ITA,25,1999,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Atalanta,Matteo Ruggeri,ITA,22,2002,Left,LM,18,LB
ITA-Serie A,2024 - 2025,Atalanta,Odilon Kossounou,CIV,23,2001,Right,CB,14,CM
ITA-Serie A,2024 - 2025,Atalanta,Raoul Bellanova,ITA,24,2000,Right,RM,9,CAM
ITA-Serie A,2024 - 2025,Atalanta,Sead Kolašinac,BIH,31,1993,Left,CB,5,CDM
ITA-Serie A,2024 - 2025,Bologna,Benjamín Domínguez,ARG,20,2003,Right,LM,16,RM
ITA-Serie A,2024 - 2025,Bologna,Charalampos Lykogiannis,GRE,30,1993,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Bologna,Dan Ndoye,SUI,23,2000,Right,LM,0,RM
ITA-Serie A,2024 - 2025,Bologna,Emil Holm,SWE,24,2000,Right,RB,8,CB
ITA-Serie A,2024 - 2025,Bologna,Giovanni Fabbian,ITA,21,2003,Right,CM,12,ST
ITA-Serie A,2024 - 2025,Bologna,Jens Odgaard,DEN,25,1999,Left,CAM,3,ST
ITA-Serie A,2024 - 2025,Bologna,Jhon Lucumí,COL,26,1998,Left,CB,15,CB
ITA-Serie A,2024 - 2025,Bologna,Juan Miranda,ESP,24,2000,Left,LB,7,CM
ITA-Serie A,2024 - 2025,Bologna,Lewis Ferguson,SCO,24,1999,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Bologna,Lorenzo De Silvestri,ITA,36,1988,Right,RB,8,CB
ITA-Serie A,2024 - 2025,Bologna,Nicolò Casale,ITA,26,1998,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Bologna,Nikola Moro,CRO,26,1998,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Bologna,Remo Freuler,SUI,32,1992,Right,CDM,5,CDM
ITA-Serie A,2024 - 2025,Bologna,Riccardo Orsolini,ITA,27,1997,Left,RM,11,ST
ITA-Serie A,2024 - 2025,Bologna,Sam Beukema,NED,25,1998,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Bologna,Santiago Castro,ARG,19,2004,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Bologna,Thijs Dallinga,NED,23,2000,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Bologna,Tommaso Pobega,ITA,25,1999,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Cagliari,Adam Obert,SVK,21,2002,Left,LB,8,CB
ITA-Serie A,2024 - 2025,Cagliari,Alessandro Deiola,ITA,28,1995,Right,CM,8,CB
ITA-Serie A,2024 - 2025,Cagliari,Gabriele Zappa,ITA,24,1999,Right,RB,15,CB
ITA-Serie A,2024 - 2025,Cagliari,Gianluca Gaetano,ITA,24,2000,Right,CAM,3,ST
ITA-Serie A,2024 - 2025,Cagliari,José Luis Palomino,ARG,34,1990,Left,CB,8,CB
ITA-Serie A,2024 - 2025,Cagliari,Mattia Felici,ITA,23,2001,Right,LM,12,ST
ITA-Serie A,2024 - 2025,Cagliari,Michel Ndary Adopo,FRA,24,2000,Right,CM,1,CDM
ITA-Serie A,2024 - 2025,Cagliari,Nadir Zortea,ITA,25,1999,Right,RM,0,RM
ITA-Serie A,2024 - 2025,Cagliari,Roberto Piccoli,ITA,23,2001,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Cagliari,Răzvan Marin,ROU,28,1996,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Cagliari,Sebastiano Luperto,ITA,27,1996,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Cagliari,Yerry Mina,COL,29,1994,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Cagliari,Zito Luvumbo,ANG,22,2002,Left,ST,12,ST
ITA-Serie A,2024 - 2025,Como,Alberto Dossena,ITA,25,1998,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Como,Alberto Moreno,ESP,32,1992,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Como,Alieu Fadera,GAM,22,2001,Right,LM,6,RM
ITA-Serie A,2024 - 2025,Como,Assane Diao,SEN,18,2005,Right,LM,3,ST
ITA-Serie A,2024 - 2025,Como,Edoardo Goldaniga,ITA,30,1993,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Como,Gabriel Strefezza,BRA,27,1997,Right,RM,0,RM
ITA-Serie A,2024 - 2025,Como,Ignace Van Der Brempt,BEL,22,2002,Right,RB,14,CM
ITA-Serie A,2024 - 2025,Como,Lucas Da Cunha,FRA,23,2001,Left,CDM,7,CM
ITA-Serie A,2024 - 2025,Como,Marc-Oliver Kempf,GER,29,1995,Left,CB,15,CB
ITA-Serie A,2024 - 2025,Como,Maxence Caqueret,FRA,24,2000,Right,CM,19,CM
ITA-Serie A,2024 - 2025,Como,Máximo Perrone,ARG,21,2003,Left,CDM,5,CDM
ITA-Serie A,2024 - 2025,Como,Nicolás Paz,ARG,19,2004,Right,CB,9,CAM
ITA-Serie A,2024 - 2025,Como,Patrick Cutrone,ITA,26,1998,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Como,Yannik Engelhardt,GER,23,2001,Right,CDM,10,CB
ITA-Serie A,2024 - 2025,Como,Álex Valle,ESP,20,2004,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Empoli,Alberto Grassi,ITA,29,1995,Right,CM,1,CDM
ITA-Serie A,2024 - 2025,Empoli,Emmanuel Gyasi,GHA,30,1994,Right,RM,18,LB
ITA-Serie A,2024 - 2025,Empoli,Giuseppe Pezzella,ITA,26,1997,Left,LM,18,LB
ITA-Serie A,2024 - 2025,Empoli,Jacopo Fazzini,ITA,21,2003,Right,CAM,12,ST
ITA-Serie A,2024 - 2025,Empoli,Liam Henderson,SCO,28,1996,Right,CM,18,LB
ITA-Serie A,2024 - 2025,Empoli,Liberato Cacace,NZL,23,2000,Left,LB,18,LB
ITA-Serie A,2024 - 2025,Empoli,Lorenzo Colombo,ITA,22,2002,Left,ST,17,ST
ITA-Serie A,2024 - 2025,Empoli,Luca Marianucci,ITA,20,2004,Right,CB,14,CM
ITA-Serie A,2024 - 2025,Empoli,Mattia Viti,ITA,22,2002,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Empoli,Sebastiano Esposito,ITA,22,2002,Right,ST,11,ST
ITA-Serie A,2024 - 2025,Empoli,Youssef Maleh,MAR,25,1998,Left,CM,1,CDM
ITA-Serie A,2024 - 2025,Fiorentina,Albert Guðmundsson,ISL,27,1997,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Fiorentina,Amir Richardson,MAR,22,2002,Left,CM,14,CM
ITA-Serie A,2024 - 2025,Fiorentina,Andrea Colpani,ITA,25,1999,Left,RM,12,ST
ITA-Serie A,2024 - 2025,Fiorentina,Danilo Cataldi,ITA,29,1994,Right,CDM,19,CM
ITA-Serie A,2024 - 2025,Fiorentina,Dodô,BRA,25,1998,Right,RB,13,LB
ITA-Serie A,2024 - 2025,Fiorentina,Fabiano Parisi,ITA,23,2000,Left,LB,8,CB
ITA-Serie A,2024 - 2025,Fiorentina,Luca Ranieri,ITA,25,1999,Left,CB,15,CB
ITA-Serie A,2024 - 2025,Fiorentina,Lucas Beltrán,ARG,23,2001,Right,CAM,3,ST
ITA-Serie A,2024 - 2025,Fiorentina,Marin Pongračić,CRO,26,1997,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Fiorentina,Moise Kean,ITA,24,2000,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Fiorentina,Nicolò Fagioli,ITA,23,2001,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Fiorentina,Pablo Marí,ESP,30,1993,Left,CB,8,CB
ITA-Serie A,2024 - 2025,Fiorentina,Pietro Comuzzo,ITA,19,2005,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Fiorentina,Robin Gosens,GER,30,1994,Left,LB,13,LB
ITA-Serie A,2024 - 2025,Fiorentina,Rolando Mandragora,ITA,27,1997,Left,CM,19,CM
ITA-Serie A,2024 - 2025,Fiorentina,Yacine Adli,FRA,24,2000,Right,CDM,19,CM
ITA-Serie A,2024 - 2025,Genoa,Aarón Martín,ESP,27,1997,Left,LB,13,LB
ITA-Serie A,2024 - 2025,Genoa,Alan Matturro,URU,19,2004,Left,CB,14,CM
ITA-Serie A,2024 - 2025,Genoa,Alessandro Zanoli,ITA,23,2000,Right,RB,6,RM
ITA-Serie A,2024 - 2025,Genoa,Andrea Pinamonti,ITA,25,1999,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Genoa,Fabio Miretti,ITA,20,2003,Right,CM,16,RM
ITA-Serie A,2024 - 2025,Genoa,Johan Vásquez,MEX,25,1998,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Genoa,Koni De Winter,BEL,22,2002,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Genoa,Mattia Bani,ITA,30,1993,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Genoa,Morten Frendrup,DEN,23,2001,Right,CM,2,CDM
ITA-Serie A,2024 - 2025,Genoa,Morten Thorsby,NOR,28,1996,Right,CM,6,RM
ITA-Serie A,2024 - 2025,Genoa,Patrizio Masini,ITA,23,2001,Right,CM,1,CDM
ITA-Serie A,2024 - 2025,Genoa,Stefano Sabelli,ITA,31,1993,Right,RB,18,LB
ITA-Serie A,2024 - 2025,Genoa,Vitinha,POR,24,2000,Right,CM,12,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Amin Sarr,SWE,23,2001,Right,ST,12,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Casper Tengstedt,DEN,24,2000,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Dailon Livramento,CPV,23,2001,Right,ST,12,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Daniel Mosquera,COL,24,1999,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Daniele Ghilardi,ITA,21,2003,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Hellas Verona,Diego Coppola,ITA,20,2003,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Hellas Verona,Domagoj Bradarić,CRO,24,1999,Left,LB,18,LB
ITA-Serie A,2024 - 2025,Hellas Verona,Giangiacomo Magnani,ITA,28,1995,Left,CB,8,CB
ITA-Serie A,2024 - 2025,Hellas Verona,Jackson Tchatchoua,CMR,22,2001,Right,RB,18,LB
ITA-Serie A,2024 - 2025,Hellas Verona,Ondrej Duda,SVK,29,1994,Right,CM,2,CDM
ITA-Serie A,2024 - 2025,Hellas Verona,Reda Belahyane,MAR,20,2004,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Hellas Verona,Suat Serdar,GER,27,1997,Right,CM,12,ST
ITA-Serie A,2024 - 2025,Hellas Verona,Tomáš Suslov,SVK,22,2002,Left,CAM,6,RM
ITA-Serie A,2024 - 2025,Inter,Alessandro Bastoni,ITA,25,1999,Left,CB,7,CM
ITA-Serie A,2024 - 2025,Inter,Benjamin Pavard,FRA,28,1996,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Inter,Carlos Augusto,BRA,25,1999,Left,LB,19,CM
ITA-Serie A,2024 - 2025,Inter,Davide Frattesi,ITA,24,1999,Right,CM,3,ST
ITA-Serie A,2024 - 2025,Inter,Denzel Dumfries,NED,28,1996,Right,RB,17,ST
ITA-Serie A,2024 - 2025,Inter,Federico Dimarco,ITA,26,1997,Left,LB,9,CAM
ITA-Serie A,2024 - 2025,Inter,Francesco Acerbi,ITA,36,1988,Left,CB,10,CB
ITA-Serie A,2024 - 2025,Inter,Hakan Çalhanoğlu,TUR,30,1994,Right,CDM,7,CM
ITA-Serie A,2024 - 2025,Inter,Henrikh Mkhitaryan,ARM,35,1989,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Inter,Kristjan Asllani,ALB,22,2002,Right,CDM,14,CM
ITA-Serie A,2024 - 2025,Inter,Lautaro Martínez,ARG,26,1997,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Inter,Marcus Thuram,FRA,26,1997,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Inter,Matteo Darmian,ITA,34,1989,Right,RB,19,CM
ITA-Serie A,2024 - 2025,Inter,Nicolò Barella,ITA,27,1997,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Inter,Piotr Zieliński,POL,30,1994,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Inter,Stefan de Vrij,NED,32,1992,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Inter,Yann Aurel Bisseck,GER,23,2000,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Juventus,Andrea Cambiaso,ITA,24,2000,Left,LB,7,CM
ITA-Serie A,2024 - 2025,Juventus,Dušan Vlahović,SRB,24,2000,Left,ST,17,ST
ITA-Serie A,2024 - 2025,Juventus,Federico Gatti,ITA,26,1998,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Juventus,Francisco Conceição,POR,21,2002,Left,RM,16,RM
ITA-Serie A,2024 - 2025,Juventus,Kenan Yıldız,TUR,19,2005,Right,CAM,0,RM
ITA-Serie A,2024 - 2025,Juventus,Khéphren Thuram,FRA,23,2001,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Juventus,Lloyd Kelly,ENG,25,1998,Left,CB,14,CM
ITA-Serie A,2024 - 2025,Juventus,Manuel Locatelli,ITA,26,1998,Right,CDM,7,CM
ITA-Serie A,2024 - 2025,Juventus,Nicolò Savona,ITA,21,2003,Right,RB,8,CB
ITA-Serie A,2024 - 2025,Juventus,Pierre Kalulu,FRA,24,2000,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Juventus,Randal Kolo Muani,FRA,25,1998,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Juventus,Renato Veiga,POR,21,2003,Left,CB,10,CB
ITA-Serie A,2024 - 2025,Juventus,Teun Koopmeiners,NED,26,1998,Left,CAM,9,CAM
ITA-Serie A,2024 - 2025,Juventus,Timothy Weah,USA,24,2000,Right,RM,19,CM
ITA-Serie A,2024 - 2025,Juventus,Weston McKennie,USA,25,1998,Right,CM,9,CAM
ITA-Serie A,2024 - 2025,Lazio,Adam Marušić,MNE,31,1992,Right,RB,8,CB
ITA-Serie A,2024 - 2025,Lazio,Alessio Romagnoli,ITA,29,1995,Left,CB,15,CB
ITA-Serie A,2024 - 2025,Lazio,Boulaye Dia,SEN,27,1996,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Lazio,Fisayo Dele-Bashiru,NGA,23,2001,Right,CAM,19,CM
ITA-Serie A,2024 - 2025,Lazio,Gustav Isaksen,DEN,23,2001,Left,RM,0,RM
ITA-Serie A,2024 - 2025,Lazio,Luca Pellegrini,ITA,25,1999,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Lazio,Manuel Lazzari,ITA,30,1993,Right,RB,14,CM
ITA-Serie A,2024 - 2025,Lazio,Mario Gila,ESP,23,2000,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Lazio,Mattia Zaccagni,ITA,29,1995,Right,LM,0,RM
ITA-Serie A,2024 - 2025,Lazio,Mattéo Guendouzi,FRA,25,1999,Right,CDM,7,CM
ITA-Serie A,2024 - 2025,Lazio,Nicolò Rovella,ITA,22,2001,Right,CDM,5,CDM
ITA-Serie A,2024 - 2025,Lazio,Nuno Tavares,POR,24,2000,Left,LB,9,CAM
ITA-Serie A,2024 - 2025,Lazio,Pedro,ESP,37,1987,Right,RM,3,ST
ITA-Serie A,2024 - 2025,Lazio,Valentín Castellanos,ARG,25,1998,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Lecce,Antonino Gallo,ITA,24,2000,Left,LB,18,LB
ITA-Serie A,2024 - 2025,Lecce,Federico Baschirotto,ITA,27,1996,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Lecce,Gaby Jean,FRA,24,2000,Left,CB,10,CB
ITA-Serie A,2024 - 2025,Lecce,Hamza Rafia,TUN,25,1999,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Lecce,Lassana Coulibaly,MLI,28,1996,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Lecce,Nikola Krstović,MNE,24,2000,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Lecce,Patrick Dorgu,DEN,19,2004,Left,LB,6,RM
ITA-Serie A,2024 - 2025,Lecce,Santiago Pierotti,ARG,23,2001,Right,RM,6,RM
ITA-Serie A,2024 - 2025,Lecce,Tete Morente,ESP,27,1996,Right,LM,6,RM
ITA-Serie A,2024 - 2025,Lecce,Ylber Ramadani,ALB,28,1996,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Lecce,Þórir Jóhann Helgason,ISL,23,2000,Right,CM,12,ST
ITA-Serie A,2024 - 2025,Milan,Christian Pulisic,USA,25,1998,Right,RW,9,CAM
ITA-Serie A,2024 - 2025,Milan,Emerson,BRA,25,1999,Left,LB,1,CDM
ITA-Serie A,2024 - 2025,Milan,Matteo Gabbia,ITA,24,1999,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Milan,Rafael Leão,POR,25,1999,Right,LW,0,RM
ITA-Serie A,2024 - 2025,Milan,Ruben Loftus-Cheek,ENG,28,1996,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Milan,Samuel Chukwueze,NGA,25,1999,Left,RW,16,RM
ITA-Serie A,2024 - 2025,Milan,Strahinja Pavlović,SRB,23,2001,Left,CB,15,CB
ITA-Serie A,2024 - 2025,Milan,Tammy Abraham,ENG,26,1997,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Milan,Theo Hernández,FRA,26,1997,Left,LB,7,CM
ITA-Serie A,2024 - 2025,Milan,Tijjani Reijnders,NED,26,1998,Right,CM,7,CM
ITA-Serie A,2024 - 2025,Milan,Youssouf Fofana,FRA,25,1999,Right,CDM,7,CM
ITA-Serie A,2024 - 2025,Milan,Yunus Musah,USA,21,2002,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Milan,Álex Jiménez,ESP,19,2005,Right,RB,14,CM
ITA-Serie A,2024 - 2025,Monza,Alessandro Bianco,ITA,21,2002,Right,CM,5,CDM
ITA-Serie A,2024 - 2025,Monza,Andrea Carboni,ITA,23,2001,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Monza,Armando Izzo,ITA,32,1992,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Monza,Daniel Maldini,ITA,22,2001,Right,CAM,12,ST
ITA-Serie A,2024 - 2025,Monza,Dany Mota,POR,26,1998,Right,CAM,3,ST
ITA-Serie A,2024 - 2025,Monza,Gianluca Caprari,ITA,31,1993,Right,CAM,6,RM
ITA-Serie A,2024 - 2025,Monza,Giorgos Kyriakopoulos,GRE,28,1996,Left,LB,13,LB
ITA-Serie A,2024 - 2025,Monza,Milan Đurić,BIH,34,1990,Right,ST,12,ST
ITA-Serie A,2024 - 2025,Monza,Patrick Ciurria,ITA,29,1995,Left,CAM,12,ST
ITA-Serie A,2024 - 2025,Monza,Pedro Pereira,POR,26,1998,Right,RB,4,CB
ITA-Serie A,2024 - 2025,Monza,Samuele Birindelli,ITA,25,1999,Right,RB,12,ST
ITA-Serie A,2024 - 2025,Monza,Warren Bondo,FRA,20,2003,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Napoli,Alessandro Buongiorno,ITA,25,1999,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Napoli,Amir Rrahmani,KVX,30,1994,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Napoli,Billy Gilmour,SCO,23,2001,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Napoli,David Neres,BRA,27,1997,Left,LW,16,RM
ITA-Serie A,2024 - 2025,Napoli,Giacomo Raspadori,ITA,24,2000,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Napoli,Giovanni Di Lorenzo,ITA,30,1993,Right,RB,7,CM
ITA-Serie A,2024 - 2025,Napoli,Khvicha Kvaratskhelia,GEO,23,2001,Right,LW,16,RM
ITA-Serie A,2024 - 2025,Napoli,Leonardo Spinazzola,ITA,31,1993,Right,LB,6,RM
ITA-Serie A,2024 - 2025,Napoli,Mathías Olivera,URU,26,1997,Left,LB,5,CDM
ITA-Serie A,2024 - 2025,Napoli,Matteo Politano,ITA,30,1993,Left,RW,0,RM
ITA-Serie A,2024 - 2025,Napoli,Romelu Lukaku,BEL,31,1993,Left,ST,17,ST
ITA-Serie A,2024 - 2025,Napoli,Scott McTominay,SCO,27,1996,Right,CM,11,ST
ITA-Serie A,2024 - 2025,Parma,Adrian Bernabe,ESP,23,2001,Left,CDM,14,CM
ITA-Serie A,2024 - 2025,Parma,Antoine Hainaut,FRA,22,2002,Right,RB,8,CB
ITA-Serie A,2024 - 2025,Parma,Dennis Man,ROU,25,1998,Left,RM,16,RM
ITA-Serie A,2024 - 2025,Parma,Emanuele Valeri,ITA,25,1998,Left,LB,13,LB
ITA-Serie A,2024 - 2025,Parma,Giovanni Leoni,ITA,17,2006,Right,CB,8,CB
ITA-Serie A,2024 - 2025,Parma,Hernani,BRA,30,1994,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Parma,Lautaro Valenti,ARG,25,1999,Left,CB,8,CB
ITA-Serie A,2024 - 2025,Parma,Mandela Keita,BEL,22,2002,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Parma,Matteo Cancellieri,ITA,22,2002,Left,LM,12,ST
ITA-Serie A,2024 - 2025,Parma,Pontus Almqvist,SWE,25,1999,Left,RM,12,ST
ITA-Serie A,2024 - 2025,Parma,Simon Sohm,SUI,23,2001,Right,CM,5,CDM
ITA-Serie A,2024 - 2025,Parma,Valentin Mihaila,ROU,24,2000,Right,LM,12,ST
ITA-Serie A,2024 - 2025,Roma,Alexis Saelemaekers,BEL,25,1999,Right,RM,11,ST
ITA-Serie A,2024 - 2025,Roma,Angeliño,ESP,27,1997,Left,LB,7,CM
ITA-Serie A,2024 - 2025,Roma,Artem Dovbyk,UKR,27,1997,Left,ST,17,ST
ITA-Serie A,2024 - 2025,Roma,Bryan Cristante,ITA,29,1995,Right,CM,5,CDM
ITA-Serie A,2024 - 2025,Roma,Eldor Shomurodov,UZB,29,1995,Right,ST,3,ST
ITA-Serie A,2024 - 2025,Roma,Gianluca Mancini,ITA,28,1996,Right,CB,15,CB
ITA-Serie A,2024 - 2025,Roma,Leandro Paredes,ARG,30,1994,Right,CM,5,CDM
ITA-Serie A,2024 - 2025,Roma,Lorenzo Pellegrini,ITA,28,1996,Right,CAM,12,ST
ITA-Serie A,2024 - 2025,Roma,Matìas Soulé,ARG,21,2003,Left,CAM,0,RM
ITA-Serie A,2024 - 2025,Roma,Niccolò Pisilli,ITA,19,2004,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Roma,Paulo Dybala,ARG,30,1993,Left,CAM,16,RM
ITA-Serie A,2024 - 2025,Roma,Stephan El Shaarawy,ITA,31,1992,Right,LM,16,RM
ITA-Serie A,2024 - 2025,Roma,Zeki Çelik,TUR,27,1997,Right,RB,5,CDM
ITA-Serie A,2024 - 2025,Torino,Adam Masina,MAR,30,1994,Left,CB,4,CB
ITA-Serie A,2024 - 2025,Torino,Antonio Sanabria,PAR,28,1996,Right,ST,12,ST
ITA-Serie A,2024 - 2025,Torino,Borna Sosa,CRO,26,1998,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Torino,Cesare Casadei,ITA,21,2003,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Torino,Che Adams,SCO,28,1996,Right,ST,17,ST
ITA-Serie A,2024 - 2025,Torino,Cristiano Biraghi,ITA,31,1992,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Torino,Guillermo Maripán,CHI,30,1994,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Torino,Gvidas Gineitis,LTU,20,2004,Left,CM,12,ST
ITA-Serie A,2024 - 2025,Torino,Ivan Ilić,SRB,23,2001,Left,CM,14,CM
ITA-Serie A,2024 - 2025,Torino,Karol Linetty,POL,29,1995,Right,CDM,1,CDM
ITA-Serie A,2024 - 2025,Torino,Marcus Pedersen,NOR,24,2000,Right,RB,14,CM
ITA-Serie A,2024 - 2025,Torino,Nikola Vlašić,CRO,26,1997,Right,CAM,16,RM
ITA-Serie A,2024 - 2025,Torino,Samuele Ricci,ITA,22,2001,Right,CDM,5,CDM
ITA-Serie A,2024 - 2025,Torino,Saúl Coco,EQG,25,1999,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Torino,Sebastian Walukiewicz,POL,24,2000,Right,CB,1,CDM
ITA-Serie A,2024 - 2025,Torino,Valentino Lazaro,AUT,28,1996,Right,RM,18,LB
ITA-Serie A,2024 - 2025,Udinese,Arthur Atta,FRA,21,2003,Right,CM,14,CM
ITA-Serie A,2024 - 2025,Udinese,Christian Kabasele,BEL,33,1991,Right,CB,10,CB
ITA-Serie A,2024 - 2025,Udinese,Florian Thauvin,FRA,31,1993,Left,ST,11,ST
ITA-Serie A,2024 - 2025,Udinese,Hassane Kamara,CIV,30,1994,Left,LB,18,LB
ITA-Serie A,2024 - 2025,Udinese,Jaka Bijol,SVN,25,1999,Right,CB,4,CB
ITA-Serie A,2024 - 2025,Udinese,Jesper Karlström,SWE,29,1995,Right,CDM,5,CDM
ITA-Serie A,2024 - 2025,Udinese,Jordan Zemura,ZIM,24,1999,Left,LB,14,CM
ITA-Serie A,2024 - 2025,Udinese,Jurgen Ekkelenkamp,NED,24,2000,Right,CM,8,CB
ITA-Serie A,2024 - 2025,Udinese,Keinan Davis,ENG,26,1998,Right,ST,12,ST
ITA-Serie A,2024 - 2025,Udinese,Kingsley Ehizibue,NED,29,1995,Right,RB,18,LB
