league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Brighton,Carlos Baleba,CMR,20,2004,Left,CDM,2,CDM
ENG-Premier League,2024 - 2025,Brighton,Danny Welbeck,ENG,33,1990,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Brighton,Georginio Rutter,FRA,22,2002,Left,CAM,3,ST
ENG-Premier League,2024 - 2025,Brighton,Jack Hinshelwood,ENG,19,2005,Right,CDM,19,CM
ENG-Premier League,2024 - 2025,Brighton,Jan Paul van Hecke,NED,24,2000,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Brighton,João Pedro,BRA,22,2001,Right,ST,11,ST
ENG-Premier League,2024 - 2025,Brighton,Joël Veltman,NED,32,1992,Right,RB,1,CDM
ENG-Premier League,2024 - 2025,Brighton,Kaoru Mitoma,JPN,27,1997,Right,LM,0,RM
ENG-Premier League,2024 - 2025,Brighton,Lewis Dunk,ENG,32,1991,Right,CB,15,CB
ENG-Premier League,2024 - 2025,Brighton,Mats Wieffer,NED,24,1999,Right,CDM,1,CDM
ENG-Premier League,2024 - 2025,Brighton,Matt O'Riley,DEN,23,2000,Left,CAM,12,ST
ENG-Premier League,2024 - 2025,Brighton,Pervis Estupiñán,ECU,26,1998,Left,LB,13,LB
ENG-Premier League,2024 - 2025,Brighton,Simon Adingra,CIV,22,2002,Right,RM,16,RM
ENG-Premier League,2024 - 2025,Brighton,Yankuba Minteh,GAM,20,2004,Left,RM,0,RM
ENG-Premier League,2024 - 2025,Brighton,Yasin Ayari,SWE,20,2003,Right,CM,2,CDM
ENG-Premier League,2024 - 2025,Chelsea,Christopher Nkunku,FRA,26,1997,Right,CAM,3,ST
ENG-Premier League,2024 - 2025,Chelsea,Cole Palmer,ENG,22,2002,Left,CAM,9,CAM
ENG-Premier League,2024 - 2025,Chelsea,Enzo Fernández,ARG,23,2001,Right,CM,7,CM
ENG-Premier League,2024 - 2025,Chelsea,Jadon Sancho,ENG,24,2000,Right,LW,0,RM
ENG-Premier League,2024 - 2025,Chelsea,Levi Colwill,ENG,21,2003,Left,CB,15,CB
ENG-Premier League,2024 - 2025,Chelsea,Malo Gusto,FRA,21,2003,Right,RB,5,CDM
ENG-Premier League,2024 - 2025,Chelsea,Marc Cucurella,ESP,26,1998,Left,LB,2,CDM
ENG-Premier League,2024 - 2025,Chelsea,Moisés Caicedo,ECU,22,2001,Right,CDM,2,CDM
ENG-Premier League,2024 - 2025,Chelsea,Nicolas Jackson,SEN,23,2001,Right,ST,17,ST
ENG-Premier League,2024 - 2025,Chelsea,Noni Madueke,ENG,22,2002,Left,RW,0,RM
ENG-Premier League,2024 - 2025,Chelsea,Pedro Neto,POR,24,2000,Left,RM,0,RM
ENG-Premier League,2024 - 2025,Chelsea,Reece James,ENG,24,1999,Right,RB,14,CM
ENG-Premier League,2024 - 2025,Chelsea,Tosin Adarabioyo,ENG,26,1997,Right,CB,10,CB
